target_gene,rank,integrated_score,direction,peak_condition,context_specificity,genetics_tier,genetics_autoimmune,lof_bin,ot_autoimmune_disease,ot_autoimmune_score,ot_top_disease,ot_top_score,primary_class,suggested_modality,tractability_tier,novelty_class,n_drugs,peak_kd,peak_emp_z,ensembl_id
STAT5B,15,0.7647385855434219,driver_antagonize,Stim48hr,0.6496923,strong,0.807,0.0,"growth hormone insensitivity with immune dysregulation 1, autosomal recessive",0.807,"growth hormone insensitivity with immune dysregulation 1, autosomal recessive",0.807,transcription_factor,small molecule,sm_tractable,novel_undrugged,0.0,-8.918683919969254,-4.517819,ENSG00000173757
CTSH,31,0.7174204022232209,driver_antagonize,Stim8hr,0.5182866,strong,0.8876762584074425,7.0,type 1 diabetes mellitus,0.545,type 1 diabetes mellitus,0.545,enzyme,small molecule,sm_tractable,novel_undrugged,0.0,-7.13951309926869,-4.1484447,ENSG00000103811
NEK6,45,0.6869595686887875,driver_antagonize,Stim8hr,0.5950018,strong,0.8055889245771162,4.0,asthma,0.434,Abnormality of the skeletal system,0.468,kinase,small molecule,sm_tractable,novel_undrugged,0.0,-2.997543974717216,-4.085429,ENSG00000119408
PTPN2,13,0.7653211046458912,brake_agonize,Rest,0.4182124,strong,0.8935231135968951,2.0,rheumatoid arthritis,0.484,rheumatoid arthritis,0.484,,small molecule,sm_tractable,novel_undrugged,0.0,-7.271300386225767,5.0367203,ENSG00000175354
SIK2,19,0.7556762351443582,brake_agonize,Rest,0.7355267,strong,0.7514498183092401,1.0,asthma,0.44,asthma,0.44,kinase,small molecule,sm_tractable,novel_undrugged,0.0,-6.083567289023719,4.672508,ENSG00000170145
STAT6,11,0.7733823032649367,brake_agonize,Stim48hr,0.74514407,strong,0.8063445470245679,1.0,"hyper-IgE syndrome 6, autosomal dominant, with recurrent infections",0.731,"hyper-IgE syndrome 6, autosomal dominant, with recurrent infections",0.731,transcription_factor,small molecule,sm_tractable,novel_undrugged,0.0,-13.180099597182386,4.709111,ENSG00000166888
