target_gene,rank,integrated_score,direction,peak_condition,context_specificity,causal_component,genetics_component,drug_component,novelty_component,peak_signed_score,peak_emp_z,peak_emp_fdr,peak_kd,genetics_tier,genetics_autoimmune,lof_constrained,lof_bin,ot_top_disease,ot_top_score,ot_autoimmune_disease,ot_autoimmune_score,primary_class,suggested_modality,tractability_tier,is_druggable,novelty_class,n_drugs,drug_stages,max_drug_stage,novel_priority,in_paper_noms,evidence_n,ensembl_id
CCDC51,1552,0.18344721788871554,brake_agonize,Stim8hr,0.97314316,0.23660946437857514,0.0,0.15,0.5,0.48870292,3.067278,0.02490752061112032,-6.512820632106029,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000164051
CD2BP2,1553,0.1833595688395433,driver_antagonize,Stim8hr,0.13680619,0.02392095683827353,0.240754811715101,0.15,0.5,-0.42874566,-2.7671638,0.04532840699656085,-9.694782223338684,weak,0.240754811715101,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000169217
ORMDL2,1554,0.18327041081643267,driver_antagonize,Rest,0.7745045,0.2360894435777431,0.0,0.15,0.5,-0.54154855,-3.0671775,0.047744227668087225,-9.165933908035424,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000123353
TSHZ1,1555,0.1830936037441498,driver_antagonize,Rest,0.5234494,0.23556942277691106,0.0,0.15,0.5,-0.46708956,-3.0668824,0.047744227668087225,-11.49899648919578,none,0.0,False,,,,,,transcription_factor,hard (TF — degrader/PPI),difficult_tf,False,not_assessed,,,,False,False,1,ENSG00000179981
TMEM204,1556,0.1829167966718669,driver_antagonize,Rest,0.7737129,0.23504940197607904,0.0,0.15,0.5,-0.43697688,-3.066392,0.047744227668087225,-16.2355956297054,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000131634
YWHAQ,1557,0.18273998959958399,driver_antagonize,Stim8hr,0.47228658,0.23452938117524702,0.0,0.15,0.5,-0.45753312,-3.066267,0.02494184356242269,-7.910938295105748,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000134308
PGK1,1558,0.1825631825273011,driver_antagonize,Stim8hr,0.7359204,0.23400936037441497,0.0,0.15,0.5,-0.45046282,-3.066263,0.02494184356242269,-7.859822882307679,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000102144
PTPN7,1559,0.18238637545501823,brake_agonize,Rest,0.8541462,0.23348933957358295,0.0,0.15,0.5,0.5029647,3.0659518,0.047744227668087225,-19.048471536901424,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000143851
ZNF398,1560,0.18220956838273533,driver_antagonize,Stim48hr,0.4165796,0.2329693187727509,0.0,0.15,0.5,-0.4883536,-3.06549,0.03563248782876827,-7.489537091254082,none,0.0,False,,,,,,transcription_factor,hard (TF — degrader/PPI),difficult_tf,False,not_assessed,,,,False,False,1,ENSG00000197024
CYSTM1,1561,0.18203276131045243,brake_agonize,Rest,0.91833776,0.23244929797191888,0.0,0.15,0.5,0.38627782,3.065402,0.047744227668087225,-3.681405762707958,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000120306
LIN7C,1562,0.18185595423816953,driver_antagonize,Rest,0.37382686,0.23192927717108686,0.0,0.15,0.5,-0.4034542,-3.0653396,0.047744227668087225,-19.05792029482596,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000148943
LYRM9,1563,0.18167914716588665,driver_antagonize,Stim8hr,0.4362383,0.2314092563702548,0.0,0.15,0.5,-0.37766692,-3.0642438,0.025053874881331744,-3.575600882427755,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000232859
PARP16,1564,0.18150234009360378,driver_antagonize,Stim48hr,0.8015021,0.23088923556942278,0.0,0.15,0.5,-0.43218258,-3.063804,0.035781908183383386,-7.859297184154159,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000138617
ATXN7L2,1565,0.18114872594903797,driver_antagonize,Stim8hr,0.43242967,0.2298491939677587,0.0,0.15,0.5,-0.5581059,-3.0631087,0.025079852771039732,-4.318756501332495,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000162650
OSGEPL1,1566,0.18097191887675507,driver_antagonize,Stim48hr,0.89479524,0.22932917316692666,0.0,0.15,0.5,-0.4349395,-3.0624366,0.035893688181803135,-5.846615059364337,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000128694
RWDD2B,1567,0.1807951118044722,brake_agonize,Rest,0.8245679,0.22880915236609464,0.0,0.15,0.5,0.6203912,3.0608733,0.04827434219925083,-9.016690408913416,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000156253
VPS8,1568,0.18061830473218932,brake_agonize,Stim48hr,0.74131835,0.22828913156526262,0.0,0.15,0.5,0.6718386,3.060488,0.036061968101116185,-11.39462947246907,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000156931
ZNF367,1569,0.1802646905876235,driver_antagonize,Stim48hr,0.48584378,0.22724908996359855,0.0,0.15,0.5,-0.46361956,-3.0592272,0.03607136587927158,-4.125006263722909,none,0.0,False,,,,,,transcription_factor,hard (TF — degrader/PPI),difficult_tf,False,not_assessed,,,,False,False,1,ENSG00000165244
BAP1,1570,0.1800878835153406,driver_antagonize,Stim48hr,0.8400245,0.2267290691627665,0.0,0.15,0.5,-0.5030069,-3.0585823,0.03609708677452574,-3.1704592636665208,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000163930
MICAL2,1571,0.17991107644305773,driver_antagonize,Stim8hr,0.75969356,0.22620904836193448,0.0,0.15,0.5,-0.48265973,-3.0581222,0.025421772332785825,-7.259352563164654,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000133816
TATDN1,1572,0.17973426937077486,driver_antagonize,Stim8hr,0.49758142,0.22568902756110246,0.0,0.15,0.5,-0.43848696,-3.0578547,0.025421772332785825,-12.86413997964159,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000147687
CCDC88C,1573,0.17938065522620905,driver_antagonize,Stim8hr,0.8114673,0.22464898595943839,0.0,0.15,0.5,-0.46159872,-3.0566113,0.025476545127454082,-11.502250925727465,none,0.0,False,,,,,,,undetermined,unknown,False,not_assessed,,,,False,False,1,ENSG00000015133
