,dolc_IFNG_z,dolc_IL2_z,schmidt_signed,schmidt_dir,schmidt_causal,schmidt_integrated,direction,integrated_score
AASDHPPT,0.1960516031426578,0.6235217740009664,0.1960516031426578,brake_agonize,0.6235217740009664,0.2356739130434783,brake_agonize,0.3353244929797192
ABAT,-0.0146056846481521,0.5929554162075208,-0.0146056846481521,driver_antagonize,0.5929554162075208,0.22218478260869567,driver_antagonize,0.25452366094643786
ABCC1,0.1182260177068108,0.6198959164111786,0.1182260177068108,brake_agonize,0.6198959164111786,0.23419565217391305,brake_agonize,0.23772698907956322
ABCC4,0.5336261028881664,-0.5379673861776704,0.5336261028881664,brake_agonize,0.5379673861776704,0.20610869565217393,driver_antagonize,0.43433645345813837
ABCD2,-0.3718383015786685,0.060764015463971,-0.3718383015786685,driver_antagonize,0.3718383015786685,0.15658695652173915,brake_agonize,0.4403478939157566
ABHD14A,-0.5494911705680858,0.291203213349945,-0.5494911705680858,driver_antagonize,0.5494911705680858,0.21128260869565219,brake_agonize,0.2775085803432138
ABHD14B,-0.8432910710550615,0.8939167646610243,-0.8432910710550615,driver_antagonize,0.8939167646610243,0.3060760869565218,brake_agonize,0.262479979199168
ABI1,-0.2668394213170129,-0.0906896554910868,-0.2668394213170129,driver_antagonize,0.2668394213170129,0.1305326086956522,driver_antagonize,0.30844981799271975
ABI2,-0.5813152004428894,-1.111012884248045,-0.5813152004428894,driver_antagonize,1.111012884248045,0.3480217391304348,driver_antagonize,0.18539209568382736
ABL2,0.0474255714941906,0.4806310443572928,0.0474255714941906,brake_agonize,0.4806310443572928,0.24533781479402508,driver_antagonize,0.1929261448489664
ACAD11,-0.0328226582686195,0.5959524104187857,-0.0328226582686195,driver_antagonize,0.5959524104187857,0.29384782608695653,brake_agonize,0.5115855434217369
ACAD8,-0.5089846803281943,-0.3741683256403044,-0.5089846803281943,driver_antagonize,0.5089846803281943,0.19742391304347828,brake_agonize,0.3096874674987
ACADS,0.8236259629519987,-1.09540930310496,0.8236259629519987,brake_agonize,1.09540930310496,0.34395652173913044,driver_antagonize,0.12404004160166407
ACAP1,-0.1790763992714407,-0.1668475880501786,-0.1790763992714407,driver_antagonize,0.1790763992714407,0.3836272333577496,brake_agonize,0.6598597448321217
ACAP2,-0.5754095361774164,-0.4177973992793513,-0.5754095361774164,driver_antagonize,0.5754095361774164,0.2170108695652174,driver_antagonize,0.2127971918876755
ACAP3,-0.0505062107438659,0.3007820445543608,-0.0505062107438659,driver_antagonize,0.3007820445543608,0.1386630434782609,brake_agonize,0.41347321892875716
ACER3,-0.2443124698284474,1.729656248676071,-0.2443124698284474,driver_antagonize,1.729656248676071,0.4115869565217392,driver_antagonize,0.425142485699428
ACSL4,-0.1688944662033232,-0.2603376977990559,-0.1688944662033232,driver_antagonize,0.2603376977990559,0.12813043478260872,driver_antagonize,0.21102912116484662
ACSS2,1.6553688849951806,-0.1278711465628479,1.6553688849951806,brake_agonize,1.6553688849951806,0.4077065217391305,driver_antagonize,0.13252678107124286
ACTG1,-1.7979521507795215,1.0013632475856764,-1.7979521507795215,driver_antagonize,1.7979521507795215,0.4163913043478262,driver_antagonize,0.345402496099844
ACVR1C,-0.2178319177748202,0.690476967688282,-0.2178319177748202,driver_antagonize,0.690476967688282,0.2530434782608696,brake_agonize,0.38058710348413943
ADA2,-0.7757806422397655,-0.2535512372578157,-0.7757806422397655,driver_antagonize,0.7757806422397655,0.5070429655493582,driver_antagonize,0.3485194741749205
ADAM17,-0.1200769926761109,0.2344094878810769,-0.1200769926761109,driver_antagonize,0.2344094878810769,0.5879217740110156,driver_antagonize,0.7673876787341611
ADAM19,0.3812338917537495,-0.296563403035137,0.3812338917537495,brake_agonize,0.3812338917537495,0.39073243318507206,brake_agonize,0.6672775280323443
ADAM22,0.5284372346174798,0.4999778637695842,0.5284372346174798,brake_agonize,0.5284372346174798,0.20333695652173914,driver_antagonize,0.2375501820072803
ADAM8,-1.1965927281647666,0.1570381414562751,-1.1965927281647666,driver_antagonize,1.1965927281647666,0.36132608695652174,driver_antagonize,0.15303640145605826
ADAMTS10,-0.9187491972141452,-0.3818986268568837,-0.9187491972141452,driver_antagonize,0.9187491972141452,0.31383695652173915,brake_agonize,0.22305200208008322
