target_gene,ensembl_id,direction,peak_condition,abs_emp_z,genetics_autoimmune,genetics_tier,primary_class,suggested_modality,is_druggable,n_drugs,drug_stages,max_drug_stage,novelty_class,in_paper_noms
ANAPC10,ENSG00000164162,driver_antagonize,Stim48hr,3.9015355,0.0,none,,undetermined,False,,,,not_assessed,False
ANAPC11,ENSG00000141552,brake_agonize,Stim48hr,3.8661478,0.0,none,,undetermined,False,,,,not_assessed,False
ANAPC16,ENSG00000166295,brake_agonize,Stim8hr,2.8940673,0.0,none,,undetermined,False,,,,not_assessed,False
ANAPC7,ENSG00000196510,driver_antagonize,Rest,3.3385375,0.0,none,,undetermined,False,,,,not_assessed,False
ANGPTL6,ENSG00000130812,brake_agonize,Rest,3.8982837,0.2299949478957663,weak,,antibody/biologic (surface),True,0.0,,,novel_undrugged,False
ANKAR,ENSG00000151687,brake_agonize,Rest,5.5160065,0.0,none,,undetermined,False,,,,not_assessed,False
ANKH,ENSG00000154122,driver_antagonize,Stim48hr,3.4998317,0.0,none,transporter,small molecule,True,,,,not_assessed,False
ANKMY2,ENSG00000106524,driver_antagonize,Stim8hr,3.5616503,0.0,none,,undetermined,False,,,,not_assessed,False
ANKRD11,ENSG00000167522,brake_agonize,Stim8hr,3.419377,0.0,none,,undetermined,False,,,,not_assessed,False
ANKRD28,ENSG00000206560,driver_antagonize,Stim8hr,2.7356944,0.4651167903707284,moderate,,undetermined,False,,,,not_assessed,False
ANKRD31,ENSG00000145700,driver_antagonize,Stim8hr,3.7515266,0.0,none,,undetermined,False,,,,not_assessed,False
ANKRD42,ENSG00000137494,driver_antagonize,Stim8hr,2.9763901,0.0,none,,undetermined,False,,,,not_assessed,False
ANKRD9,ENSG00000156381,driver_antagonize,Stim8hr,3.5981476,0.0,none,,undetermined,False,,,,not_assessed,False
ANKZF1,ENSG00000163516,brake_agonize,Rest,5.020503,0.4875604996845201,moderate,transcription_factor,hard (TF — degrader/PPI),False,0.0,,,novel_undrugged,False
ANO10,ENSG00000160746,driver_antagonize,Stim8hr,3.3404918,0.2996317938582095,moderate,ion_channel,small molecule,True,,,,not_assessed,False
ANXA7,ENSG00000138279,brake_agonize,Stim48hr,3.044737,0.0,none,,undetermined,False,,,,not_assessed,False
AOC2,ENSG00000131480,driver_antagonize,Stim8hr,4.179918,0.0,none,,undetermined,False,,,,not_assessed,False
AP1B1,ENSG00000100280,driver_antagonize,Stim8hr,3.4337952,0.0,none,,undetermined,False,,,,not_assessed,False
AP1G1,ENSG00000166747,driver_antagonize,Stim8hr,2.735475,0.4226388685556605,moderate,,undetermined,False,,,,not_assessed,False
AP1M1,ENSG00000072958,brake_agonize,Stim8hr,3.9848747,0.0,none,,undetermined,False,,,,not_assessed,False
AP2A1,ENSG00000196961,driver_antagonize,Stim8hr,2.8206687,0.0,none,,undetermined,False,,,,not_assessed,False
AP2B1,ENSG00000006125,driver_antagonize,Rest,3.079907,0.0,none,,undetermined,False,,,,not_assessed,False
AP5S1,ENSG00000125843,driver_antagonize,Stim8hr,2.8118114,0.0,none,,undetermined,False,,,,not_assessed,False
APBA2,ENSG00000034053,brake_agonize,Rest,6.4246554,0.0,none,,undetermined,False,,,,not_assessed,False
APBB1,ENSG00000166313,brake_agonize,Rest,3.806102,0.0,none,,undetermined,False,,,,not_assessed,False
APBB1IP,ENSG00000077420,driver_antagonize,Rest,3.813306,0.526,strong,,antibody/biologic (surface),True,0.0,,,novel_undrugged,False
APBB3,ENSG00000113108,driver_antagonize,Stim8hr,2.815258,0.0,none,,undetermined,False,,,,not_assessed,False
APIP,ENSG00000149089,brake_agonize,Rest,4.3992124,0.0,none,,undetermined,False,,,,not_assessed,False
APMAP,ENSG00000101474,driver_antagonize,Rest,3.2165763,0.0,none,,undetermined,False,,,,not_assessed,False
APOA1,ENSG00000118137,driver_antagonize,Rest,5.0199018,0.0,none,,undetermined,False,,,,not_assessed,False
APOBEC3B,ENSG00000179750,brake_agonize,Stim48hr,3.490227,0.0,none,,undetermined,False,,,,not_assessed,False
