target_gene,ensembl_id,direction,peak_condition,abs_emp_z,genetics_autoimmune,genetics_tier,primary_class,suggested_modality,is_druggable,n_drugs,drug_stages,max_drug_stage,novelty_class,in_paper_noms
CXorf38,ENSG00000185753,driver_antagonize,Stim48hr,3.0825906,0.0,none,,undetermined,False,,,,not_assessed,False
CXorf65,ENSG00000204165,driver_antagonize,Stim8hr,4.2975717,0.0,none,,undetermined,False,,,,not_assessed,False
CYB5D2,ENSG00000167740,brake_agonize,Stim48hr,3.093675,0.0,none,,undetermined,False,,,,not_assessed,False
CYB5R4,ENSG00000065615,driver_antagonize,Stim8hr,3.597229,0.0,none,,undetermined,False,,,,not_assessed,False
CYC1,ENSG00000179091,brake_agonize,Stim8hr,3.5625591,0.0,none,,undetermined,False,,,,not_assessed,False
CYLD,ENSG00000083799,brake_agonize,Rest,3.5629597,0.767274943525361,strong,,small molecule,True,0.0,,,novel_undrugged,False
CYP2U1,ENSG00000155016,driver_antagonize,Stim8hr,3.565532,0.0,none,enzyme,small molecule,True,,,,not_assessed,False
CYREN,ENSG00000122783,brake_agonize,Stim8hr,5.253077,0.0,none,,undetermined,False,,,,not_assessed,False
CYSLTR2,ENSG00000152207,brake_agonize,Stim8hr,2.7837949,0.0,none,GPCR,small molecule,True,,,,not_assessed,False
CYSTM1,ENSG00000120306,brake_agonize,Rest,3.065402,0.0,none,,undetermined,False,,,,not_assessed,False
CYTH2,ENSG00000105443,driver_antagonize,Stim48hr,3.164038,0.0,none,,undetermined,False,,,,not_assessed,False
CZIB,ENSG00000162384,driver_antagonize,Stim48hr,3.4298003,0.0,none,,undetermined,False,,,,not_assessed,False
DACT1,ENSG00000165617,brake_agonize,Stim8hr,3.8390727,0.2550618420046509,moderate,,undetermined,False,0.0,,,novel_undrugged,False
DAGLB,ENSG00000164535,driver_antagonize,Stim48hr,4.356021,0.7064136491884372,strong,enzyme,small molecule,True,0.0,,,novel_undrugged,False
DAPK1,ENSG00000196730,driver_antagonize,Stim8hr,4.4478364,0.0,none,kinase,small molecule,True,,,,not_assessed,False
DAPK3,ENSG00000167657,driver_antagonize,Stim8hr,2.9864686,0.0,none,kinase,small molecule,True,,,,not_assessed,False
DARS1,ENSG00000115866,driver_antagonize,Stim8hr,4.4987154,0.0,none,,undetermined,False,,,,not_assessed,False
DCAF17,ENSG00000115827,driver_antagonize,Stim48hr,3.3954709,0.0,none,,undetermined,False,,,,not_assessed,False
DCLRE1A,ENSG00000198924,brake_agonize,Stim8hr,3.1675508,0.0,none,,undetermined,False,,,,not_assessed,False
DCP1A,ENSG00000272886,brake_agonize,Stim8hr,2.734776,0.0,none,,undetermined,False,,,,not_assessed,False
DCP1B,ENSG00000151065,driver_antagonize,Rest,3.220903,0.0,none,,undetermined,False,,,,not_assessed,False
DCP2,ENSG00000172795,brake_agonize,Stim8hr,4.785104,0.0,none,,undetermined,False,,,,not_assessed,False
DCUN1D2,ENSG00000150401,brake_agonize,Stim48hr,3.4421937,0.0,none,,undetermined,False,,,,not_assessed,False
DCUN1D3,ENSG00000188215,driver_antagonize,Stim8hr,3.2278323,0.0,none,,undetermined,False,,,,not_assessed,False
DCXR,ENSG00000169738,driver_antagonize,Stim48hr,2.9158356,0.0,none,,undetermined,False,,,,not_assessed,False
DDA1,ENSG00000130311,driver_antagonize,Stim48hr,2.9026048,0.0,none,,undetermined,False,,,,not_assessed,False
DDHD2,ENSG00000085788,driver_antagonize,Stim8hr,3.6792047,0.0,none,,undetermined,False,,,,not_assessed,False
DDRGK1,ENSG00000198171,brake_agonize,Stim8hr,4.536224,0.0,none,,undetermined,False,,,,not_assessed,False
DDX19A,ENSG00000168872,driver_antagonize,Stim48hr,3.0354693,0.0,none,,undetermined,False,,,,not_assessed,False
DDX3X,ENSG00000215301,driver_antagonize,Stim48hr,3.8577483,0.0,none,,undetermined,False,,,,not_assessed,False
DDX42,ENSG00000198231,driver_antagonize,Stim8hr,2.8942301,0.0,none,,undetermined,False,,,,not_assessed,False
DDX60L,ENSG00000181381,driver_antagonize,Stim8hr,2.8200283,0.1577906629656276,weak,,undetermined,False,,,,not_assessed,False
DECR1,ENSG00000104325,driver_antagonize,Stim48hr,3.833142,0.0,none,,undetermined,False,,,,not_assessed,False
DEF6,ENSG00000023892,driver_antagonize,Stim48hr,3.5514696,0.694,strong,,antibody/biologic (surface),True,0.0,,,novel_undrugged,False
DEGS1,ENSG00000143753,brake_agonize,Stim8hr,3.1255095,0.0,none,enzyme,small molecule,True,,,,not_assessed,False
DEK,ENSG00000124795,brake_agonize,Stim8hr,4.066646,0.0,none,,undetermined,False,,,,not_assessed,False
DENND1A,ENSG00000119522,brake_agonize,Stim8hr,6.3860345,0.2328158859240194,weak,,small molecule,True,0.0,,,novel_undrugged,False
DENND4B,ENSG00000198837,driver_antagonize,Rest,3.3320005,0.0,none,,undetermined,False,,,,not_assessed,False
DENND5A,ENSG00000184014,driver_antagonize,Stim48hr,3.2742584,0.0,none,,undetermined,False,,,,not_assessed,False
DGKZ,ENSG00000149091,brake_agonize,Stim8hr,3.33353,0.0,none,,undetermined,False,,,,not_assessed,False
DHCR7,ENSG00000172893,driver_antagonize,Stim8hr,3.188777,0.6455662263863088,strong,,undetermined,False,,,,not_assessed,False
DHPS,ENSG00000095059,brake_agonize,Stim48hr,3.1137383,0.0,none,,undetermined,False,,,,not_assessed,False
DHRS1,ENSG00000157379,brake_agonize,Rest,3.5684376,0.0,none,,undetermined,False,,,,not_assessed,False
DHRS7,ENSG00000100612,brake_agonize,Stim8hr,2.8817272,0.0,none,,undetermined,False,,,,not_assessed,False
DIAPH2,ENSG00000147202,driver_antagonize,Stim48hr,3.1530497,0.0,none,,undetermined,False,,,,not_assessed,False
DIS3L,ENSG00000166938,driver_antagonize,Stim48hr,4.592022,0.0,none,,undetermined,False,,,,not_assessed,False
DIS3L2,ENSG00000144535,brake_agonize,Rest,3.168191,0.0,none,,undetermined,False,,,,not_assessed,False
DIXDC1,ENSG00000150764,driver_antagonize,Stim8hr,3.3091652,0.0,none,,undetermined,False,,,,not_assessed,False
DLAT,ENSG00000150768,driver_antagonize,Stim48hr,2.9671867,0.0,none,,undetermined,False,,,,not_assessed,False
DLGAP5,ENSG00000126787,brake_agonize,Rest,5.059505,0.0,none,,undetermined,False,,,,not_assessed,False
DMAC2L,ENSG00000125375,driver_antagonize,Rest,3.4227288,0.0,none,,undetermined,False,,,,not_assessed,False
DMXL2,ENSG00000104093,driver_antagonize,Stim8hr,3.4491425,0.0,none,,undetermined,False,,,,not_assessed,False
DNAJB11,ENSG00000090520,driver_antagonize,Stim8hr,2.7279177,0.0,none,,undetermined,False,,,,not_assessed,False
DNAJC15,ENSG00000120675,driver_antagonize,Stim8hr,3.1628618,0.0,none,,undetermined,False,,,,not_assessed,False
DNAJC19,ENSG00000205981,brake_agonize,Rest,5.33758,0.0,none,,undetermined,False,,,,not_assessed,False
DNAJC2,ENSG00000105821,brake_agonize,Stim8hr,5.132838,0.0,none,,undetermined,False,,,,not_assessed,False
DNAJC30,ENSG00000176410,brake_agonize,Stim8hr,3.119964,0.0,none,,undetermined,False,,,,not_assessed,False
DNAJC5,ENSG00000101152,driver_antagonize,Stim8hr,2.7716012,0.1788060908359804,weak,,undetermined,False,,,,not_assessed,False
DNAJC8,ENSG00000126698,driver_antagonize,Stim8hr,4.2547555,0.0,none,,undetermined,False,,,,not_assessed,False
DNAL4,ENSG00000100246,driver_antagonize,Stim8hr,3.1657212,0.0,none,,undetermined,False,,,,not_assessed,False
DNASE1L1,ENSG00000013563,driver_antagonize,Stim48hr,3.1171107,0.0,none,,undetermined,False,,,,not_assessed,False
DNPH1,ENSG00000112667,driver_antagonize,Stim8hr,4.219938,0.0,none,,undetermined,False,,,,not_assessed,False
DNTTIP1,ENSG00000101457,brake_agonize,Stim48hr,4.7696066,0.0,none,transcription_factor,hard (TF — degrader/PPI),False,,,,not_assessed,False
DOCK5,ENSG00000147459,driver_antagonize,Stim8hr,3.0009396,0.3487676605066755,moderate,,undetermined,False,,,,not_assessed,False
DOCK8,ENSG00000107099,driver_antagonize,Stim48hr,3.3851428,0.0,none,,undetermined,False,,,,not_assessed,False
DOLK,ENSG00000175283,driver_antagonize,Stim8hr,4.096007,0.0,none,,undetermined,False,,,,not_assessed,False
DOT1L,ENSG00000104885,driver_antagonize,Stim8hr,3.2973413,0.1611937758159737,weak,enzyme,small molecule,True,,,,not_assessed,False
DPF3,ENSG00000205683,brake_agonize,Stim8hr,3.2880843,0.0,none,transcription_factor,hard (TF — degrader/PPI),False,,,,not_assessed,False
DPH2,ENSG00000132768,driver_antagonize,Stim48hr,2.9618795,0.0,none,,undetermined,False,,,,not_assessed,False
DPH3,ENSG00000154813,driver_antagonize,Stim8hr,4.263036,0.0,none,,undetermined,False,,,,not_assessed,False
DPM3,ENSG00000179085,driver_antagonize,Stim8hr,3.0988042,0.0,none,,undetermined,False,,,,not_assessed,False
DST,ENSG00000151914,brake_agonize,Stim48hr,3.1039774,0.643347591420098,strong,,undetermined,False,,,,not_assessed,False
DSTYK,ENSG00000133059,brake_agonize,Stim48hr,3.077221,0.0,none,enzyme,small molecule,True,,,,not_assessed,False
DTD2,ENSG00000129480,driver_antagonize,Stim48hr,3.3311312,0.0,none,,undetermined,False,,,,not_assessed,False
DTHD1,ENSG00000197057,driver_antagonize,Stim48hr,3.2552054,0.1109717644782583,weak,,undetermined,False,,,,not_assessed,False
DTNBP1,ENSG00000047579,driver_antagonize,Rest,3.6311371,0.0,none,,undetermined,False,,,,not_assessed,False
DUS4L,ENSG00000105865,driver_antagonize,Stim8hr,3.2836144,0.0,none,,undetermined,False,,,,not_assessed,False
DUSP12,ENSG00000081721,brake_agonize,Stim8hr,5.2437887,0.0,none,,undetermined,False,,,,not_assessed,False
DUSP23,ENSG00000158716,driver_antagonize,Stim8hr,3.1389334,0.0,none,,undetermined,False,,,,not_assessed,False
DUSP3,ENSG00000108861,brake_agonize,Stim8hr,2.7194436,0.0,none,,undetermined,False,,,,not_assessed,False
DUSP8,ENSG00000184545,driver_antagonize,Stim48hr,2.9009848,0.0,none,,undetermined,False,,,,not_assessed,False
DXO,ENSG00000204348,driver_antagonize,Stim48hr,4.182906,0.0,none,,undetermined,False,,,,not_assessed,False
DYNC2I2,ENSG00000119333,driver_antagonize,Stim8hr,3.7581737,0.0,none,,undetermined,False,,,,not_assessed,False
DYRK2,ENSG00000127334,driver_antagonize,Stim8hr,2.8677456,0.0,none,kinase,small molecule,True,,,,not_assessed,False
EAF2,ENSG00000145088,driver_antagonize,Stim8hr,2.9614372,0.161874314305523,weak,,undetermined,False,,,,not_assessed,False
ECHDC1,ENSG00000093144,driver_antagonize,Rest,3.311681,0.0,none,,undetermined,False,,,,not_assessed,False
ECI2,ENSG00000198721,driver_antagonize,Stim8hr,3.692158,0.0,none,,undetermined,False,,,,not_assessed,False
EDC3,ENSG00000179151,brake_agonize,Rest,3.2809975,0.0,none,,undetermined,False,,,,not_assessed,False
EDEM3,ENSG00000116406,driver_antagonize,Stim8hr,3.4503732,0.541786002323598,strong,,antibody/biologic (surface),True,0.0,,,novel_undrugged,False
EDRF1,ENSG00000107938,driver_antagonize,Stim48hr,3.1481683,0.0,none,,undetermined,False,,,,not_assessed,False
EEF1AKMT1,ENSG00000150456,driver_antagonize,Stim8hr,3.0960865,0.0,none,,undetermined,False,,,,not_assessed,False
EEF1AKMT3,ENSG00000123427,brake_agonize,Stim8hr,2.7293608,0.1023427230081028,weak,,undetermined,False,,,,not_assessed,False
EFCAB13,ENSG00000178852,driver_antagonize,Rest,3.3323205,0.4181391982817367,moderate,,undetermined,False,,,,not_assessed,False
EFCAB2,ENSG00000203666,driver_antagonize,Stim48hr,3.169682,0.0,none,,undetermined,False,,,,not_assessed,False
EFCAB7,ENSG00000203965,driver_antagonize,Stim8hr,2.7971034,0.0,none,,undetermined,False,,,,not_assessed,False
EFHD2,ENSG00000142634,driver_antagonize,Stim8hr,3.8780644,0.0,none,,undetermined,False,,,,not_assessed,False
EFNA4,ENSG00000243364,driver_antagonize,Stim8hr,5.0067115,0.0,none,cytokine,biologic (secreted),True,,,,not_assessed,False
EGR1,ENSG00000120738,driver_antagonize,Stim8hr,3.2821276,0.0,none,transcription_factor,hard (TF — degrader/PPI),False,,,,not_assessed,False
EGR3,ENSG00000179388,driver_antagonize,Stim48hr,3.4640453,0.0,none,transcription_factor,hard (TF — degrader/PPI),False,,,,not_assessed,False
EHBP1L1,ENSG00000173442,driver_antagonize,Stim48hr,4.272796,0.0,none,,undetermined,False,,,,not_assessed,False
EHD1,ENSG00000110047,brake_agonize,Stim8hr,3.083602,0.0,none,,undetermined,False,,,,not_assessed,False
EI24,ENSG00000149547,brake_agonize,Rest,4.400336,0.0,none,,undetermined,False,,,,not_assessed,False
EID1,ENSG00000255302,driver_antagonize,Stim8hr,3.2203324,0.0,none,,undetermined,False,,,,not_assessed,False
EID2,ENSG00000176396,brake_agonize,Rest,5.4699903,0.0,none,,undetermined,False,,,,not_assessed,False
EID2B,ENSG00000176401,driver_antagonize,Stim8hr,3.8331335,0.0,none,,undetermined,False,,,,not_assessed,False
EIF3L,ENSG00000100129,brake_agonize,Stim8hr,4.2167063,0.0,none,,undetermined,False,,,,not_assessed,False
EIF4A1,ENSG00000161960,brake_agonize,Stim48hr,2.9944112,0.0,none,,undetermined,False,,,,not_assessed,False
EIF4E2,ENSG00000135930,driver_antagonize,Stim48hr,4.271442,0.0,none,,undetermined,False,,,,not_assessed,False
EIF4E3,ENSG00000163412,brake_agonize,Rest,3.8704157,0.0,none,,undetermined,False,,,,not_assessed,False
EIF4EBP2,ENSG00000148730,driver_antagonize,Rest,3.7549868,0.0,none,,undetermined,False,,,,not_assessed,False
EIF4EBP3,ENSG00000243056,brake_agonize,Stim8hr,3.7305617,0.0,none,,undetermined,False,,,,not_assessed,False
EIPR1,ENSG00000032389,driver_antagonize,Stim8hr,4.3111453,0.0,none,,undetermined,False,,,,not_assessed,False
ELAVL1,ENSG00000066044,brake_agonize,Stim48hr,2.991026,0.0,none,,undetermined,False,,,,not_assessed,False
ELOVL1,ENSG00000066322,brake_agonize,Stim8hr,2.9112525,0.0,none,,undetermined,False,,,,not_assessed,False
ELP3,ENSG00000134014,brake_agonize,Stim8hr,5.1242757,0.0,none,enzyme,small molecule,True,,,,not_assessed,False
ELP4,ENSG00000109911,brake_agonize,Stim48hr,4.2977934,0.0,none,,undetermined,False,,,,not_assessed,False
EMC4,ENSG00000128463,brake_agonize,Stim48hr,4.6150975,0.0,none,,undetermined,False,,,,not_assessed,False
EMC7,ENSG00000134153,brake_agonize,Stim48hr,4.098335,0.0,none,,undetermined,False,,,,not_assessed,False
EME1,ENSG00000154920,brake_agonize,Stim8hr,3.8798048,0.0,none,,undetermined,False,,,,not_assessed,False
EME2,ENSG00000197774,driver_antagonize,Stim8hr,3.3420153,0.0,none,,undetermined,False,,,,not_assessed,False
EML4,ENSG00000143924,driver_antagonize,Stim48hr,4.41628,0.0,none,,undetermined,False,,,,not_assessed,False
ENO1,ENSG00000074800,driver_antagonize,Stim48hr,3.8975856,0.0,none,,undetermined,False,,,,not_assessed,False
ENO2,ENSG00000111674,driver_antagonize,Rest,3.382167,0.0,none,,undetermined,False,,,,not_assessed,False
EP300,ENSG00000100393,driver_antagonize,Stim8hr,3.8485444,0.0,none,,undetermined,False,,,,not_assessed,False
EPB41L2,ENSG00000079819,driver_antagonize,Stim8hr,4.308078,0.0,none,,undetermined,False,,,,not_assessed,False
EPB41L3,ENSG00000082397,driver_antagonize,Stim8hr,3.3628583,0.0,none,,undetermined,False,,,,not_assessed,False
EPHX2,ENSG00000120915,driver_antagonize,Stim8hr,3.0988839,0.0,none,enzyme,small molecule,True,,,,not_assessed,False
ERF,ENSG00000105722,driver_antagonize,Stim48hr,3.7396529,0.0,none,transcription_factor,hard (TF — degrader/PPI),False,,,,not_assessed,False
ERI3,ENSG00000117419,driver_antagonize,Rest,3.4162161,0.0,none,,undetermined,False,,,,not_assessed,False
ERMARD,ENSG00000130023,driver_antagonize,Stim48hr,5.6226964,0.0,none,,undetermined,False,,,,not_assessed,False
ERO1B,ENSG00000086619,driver_antagonize,Stim48hr,2.9229162,0.0,none,,undetermined,False,,,,not_assessed,False
ERP29,ENSG00000089248,driver_antagonize,Stim8hr,3.5306091,0.0,none,,undetermined,False,,,,not_assessed,False
ERP44,ENSG00000023318,driver_antagonize,Stim8hr,2.788904,0.0,none,,undetermined,False,,,,not_assessed,False
ESRRA,ENSG00000173153,driver_antagonize,Stim8hr,3.6410105,0.0,none,nuclear_receptor,small molecule,True,,,,not_assessed,False
EVA1B,ENSG00000142694,driver_antagonize,Stim8hr,3.0039454,0.0,none,,undetermined,False,,,,not_assessed,False
EWSR1,ENSG00000182944,driver_antagonize,Stim48hr,3.1221852,0.0,none,,undetermined,False,,,,not_assessed,False
EXD2,ENSG00000081177,driver_antagonize,Stim8hr,2.8039687,0.0,none,,undetermined,False,,,,not_assessed,False
EXD3,ENSG00000187609,driver_antagonize,Stim48hr,3.0800695,0.0,none,,undetermined,False,,,,not_assessed,False
EXO5,ENSG00000164002,driver_antagonize,Stim8hr,2.8037274,0.0,none,,undetermined,False,,,,not_assessed,False
EXOSC1,ENSG00000171311,brake_agonize,Stim8hr,3.3977878,0.0,none,,undetermined,False,,,,not_assessed,False
EXPH5,ENSG00000110723,driver_antagonize,Stim8hr,3.8531294,0.0,none,,undetermined,False,,,,not_assessed,False
EXT2,ENSG00000151348,driver_antagonize,Stim48hr,2.9624503,0.0,none,,undetermined,False,,,,not_assessed,False
EXTL3,ENSG00000012232,driver_antagonize,Stim48hr,5.4564295,0.0,none,,undetermined,False,,,,not_assessed,False
F11R,ENSG00000158769,driver_antagonize,Stim48hr,3.9180562,0.0,none,,undetermined,False,,,,not_assessed,False
F5,ENSG00000198734,driver_antagonize,Stim8hr,2.8153527,0.0,none,,undetermined,False,,,,not_assessed,False
F8A1,ENSG00000288722,driver_antagonize,Stim48hr,4.0446763,0.0,none,,undetermined,False,,,,not_assessed,False
FAAP24,ENSG00000131944,driver_antagonize,Stim8hr,3.2298045,0.5593038376043256,strong,,undetermined,False,,,,not_assessed,False
FADS1,ENSG00000149485,driver_antagonize,Stim8hr,3.7798822,0.6587269687444958,strong,,small molecule,True,0.0,,,novel_undrugged,False
FADS3,ENSG00000221968,driver_antagonize,Stim48hr,3.6383686,0.5842297472421053,strong,,antibody/biologic (surface),True,0.0,,,novel_undrugged,False
FAHD2A,ENSG00000115042,driver_antagonize,Stim48hr,4.113529,0.0,none,,undetermined,False,,,,not_assessed,False
FAIM,ENSG00000158234,driver_antagonize,Rest,3.6217403,0.0,none,,undetermined,False,,,,not_assessed,False
FAM107B,ENSG00000065809,brake_agonize,Stim8hr,3.5983548,0.0,none,,undetermined,False,,,,not_assessed,False
FAM118A,ENSG00000100376,brake_agonize,Stim8hr,3.1890314,0.6330537921357291,strong,,undetermined,False,,,,not_assessed,False
FAM120AOS,ENSG00000188938,driver_antagonize,Stim8hr,3.086384,0.0,none,,undetermined,False,,,,not_assessed,False
FAM133B,ENSG00000234545,brake_agonize,Stim48hr,3.9482236,0.1063390104575291,weak,,undetermined,False,0.0,,,novel_undrugged,False
FAM136A,ENSG00000035141,driver_antagonize,Stim8hr,2.8797433,0.0,none,,undetermined,False,,,,not_assessed,False
FAM13B,ENSG00000031003,driver_antagonize,Stim48hr,3.7405937,0.0,none,,undetermined,False,,,,not_assessed,False
FAM169A,ENSG00000198780,driver_antagonize,Stim8hr,3.61156,0.0,none,,undetermined,False,,,,not_assessed,False
FAM174C,ENSG00000228300,brake_agonize,Stim48hr,3.9174995,0.0,none,,undetermined,False,,,,not_assessed,False
FAM177A1,ENSG00000151327,brake_agonize,Stim8hr,4.5221624,0.0,none,,undetermined,False,,,,not_assessed,False
FAM204A,ENSG00000165669,driver_antagonize,Stim8hr,4.794871,0.0,none,,undetermined,False,,,,not_assessed,False
FAM20B,ENSG00000116199,driver_antagonize,Stim8hr,2.7886035,0.4114270643387612,moderate,,undetermined,False,,,,not_assessed,True
FAM210B,ENSG00000124098,brake_agonize,Rest,6.180166,0.0,none,,undetermined,False,,,,not_assessed,False
FAM229B,ENSG00000203778,driver_antagonize,Rest,3.1730409,0.0,none,,undetermined,False,,,,not_assessed,False
FAM241A,ENSG00000174749,brake_agonize,Stim8hr,3.6379688,0.6747350616692561,strong,,antibody/biologic (surface),True,0.0,,,novel_undrugged,False
FAM241B,ENSG00000171224,brake_agonize,Stim8hr,3.0056047,0.0,none,,undetermined,False,,,,not_assessed,False
FAM50B,ENSG00000145945,driver_antagonize,Stim48hr,3.6714013,0.0,none,,undetermined,False,,,,not_assessed,False
FAM89A,ENSG00000182118,driver_antagonize,Stim8hr,3.5681667,0.0,none,,undetermined,False,,,,not_assessed,False
FAM98A,ENSG00000119812,driver_antagonize,Stim8hr,3.8728197,0.3628127197901791,moderate,,undetermined,False,0.0,,,novel_undrugged,False
FANCB,ENSG00000181544,brake_agonize,Rest,4.156482,0.0,none,,undetermined,False,,,,not_assessed,False
FANCI,ENSG00000140525,brake_agonize,Stim8hr,3.142792,0.0,none,,undetermined,False,,,,not_assessed,False
FANCM,ENSG00000187790,driver_antagonize,Stim48hr,4.6063867,0.0,none,,undetermined,False,,,,not_assessed,False
FARP2,ENSG00000006607,driver_antagonize,Stim8hr,2.9159863,0.494762327485489,moderate,,undetermined,False,,,,not_assessed,False
FBH1,ENSG00000134452,brake_agonize,Stim48hr,3.4607418,0.2579175896632644,moderate,,undetermined,False,,,,not_assessed,False
FBXL4,ENSG00000112234,driver_antagonize,Stim8hr,4.4431496,0.0,none,,undetermined,False,,,,not_assessed,False
FBXL8,ENSG00000135722,driver_antagonize,Rest,3.4779654,0.0,none,,undetermined,False,,,,not_assessed,False
FBXO22,ENSG00000167196,driver_antagonize,Rest,3.5647254,0.0,none,,undetermined,False,,,,not_assessed,False
FBXO25,ENSG00000147364,driver_antagonize,Rest,3.0951715,0.0,none,,undetermined,False,,,,not_assessed,False
FBXO38,ENSG00000145868,brake_agonize,Rest,3.9922912,0.666414874110177,strong,,undetermined,False,0.0,,,novel_undrugged,False
FBXO46,ENSG00000177051,driver_antagonize,Stim8hr,3.0836692,0.0,none,,undetermined,False,,,,not_assessed,False
FBXW4,ENSG00000107829,driver_antagonize,Stim48hr,3.1247702,0.0,none,,undetermined,False,,,,not_assessed,False
FBXW5,ENSG00000159069,driver_antagonize,Stim8hr,3.3848007,0.0,none,,undetermined,False,,,,not_assessed,False
FBXW7,ENSG00000109670,driver_antagonize,Stim8hr,2.8377416,0.0,none,,undetermined,False,,,,not_assessed,False
FCMR,ENSG00000162894,driver_antagonize,Stim8hr,2.9049141,0.0,none,,undetermined,False,,,,not_assessed,False
FEM1A,ENSG00000141965,driver_antagonize,Stim8hr,4.6511955,0.0,none,,undetermined,False,,,,not_assessed,False
FEM1C,ENSG00000145780,driver_antagonize,Rest,3.488904,0.0,none,,undetermined,False,,,,not_assessed,False
FERRY3,ENSG00000047621,brake_agonize,Stim8hr,3.262994,0.0,none,,undetermined,False,,,,not_assessed,False
FES,ENSG00000182511,driver_antagonize,Stim8hr,2.9422293,0.0,none,kinase,small molecule,True,,,,not_assessed,False
FHIP2A,ENSG00000151553,driver_antagonize,Stim48hr,3.1170127,0.0,none,,undetermined,False,,,,not_assessed,False
FHOD1,ENSG00000135723,driver_antagonize,Stim48hr,4.178856,0.0,none,,undetermined,False,,,,not_assessed,False
FICD,ENSG00000198855,brake_agonize,Stim48hr,3.0036557,0.0,none,,undetermined,False,,,,not_assessed,False
FIGNL1,ENSG00000132436,brake_agonize,Stim8hr,3.335887,0.2782840125821002,moderate,,undetermined,False,,,,not_assessed,False
FKBP15,ENSG00000119321,driver_antagonize,Rest,3.9985988,0.0,none,,undetermined,False,,,,not_assessed,False
FKBP5,ENSG00000096060,brake_agonize,Stim48hr,3.5556977,0.6182885018233708,strong,,small molecule,True,0.0,,,novel_undrugged,False
FKBP7,ENSG00000079150,brake_agonize,Stim8hr,2.730487,0.0,none,,undetermined,False,,,,not_assessed,False
FKBPL,ENSG00000204315,driver_antagonize,Stim48hr,3.0118918,0.0,none,,undetermined,False,,,,not_assessed,False
FLACC1,ENSG00000155749,brake_agonize,Stim48hr,3.33609,0.0,none,,undetermined,False,,,,not_assessed,False
FMR1,ENSG00000102081,brake_agonize,Stim8hr,3.7095993,0.0,none,,undetermined,False,,,,not_assessed,False
FNDC3A,ENSG00000102531,driver_antagonize,Stim48hr,2.984968,0.0,none,,undetermined,False,,,,not_assessed,False
FNDC3B,ENSG00000075420,driver_antagonize,Stim8hr,6.276335,0.0,none,,undetermined,False,,,,not_assessed,False
FOXD1,ENSG00000251493,driver_antagonize,Stim48hr,3.108221,0.0,none,transcription_factor,hard (TF — degrader/PPI),False,,,,not_assessed,False
FOXK1,ENSG00000164916,driver_antagonize,Stim8hr,3.4838603,0.421,moderate,transcription_factor,hard (TF — degrader/PPI),False,0.0,,,novel_undrugged,False
FPGS,ENSG00000136877,driver_antagonize,Stim48hr,3.9998891,0.0,none,,undetermined,False,,,,not_assessed,False
FRA10AC1,ENSG00000148690,driver_antagonize,Stim48hr,3.1176546,0.0,none,,undetermined,False,,,,not_assessed,False
FRAT2,ENSG00000181274,driver_antagonize,Stim8hr,3.457026,0.0,none,,undetermined,False,,,,not_assessed,False
FUT7,ENSG00000180549,driver_antagonize,Stim8hr,4.6186867,0.0,none,,undetermined,False,,,,not_assessed,False
FUT8,ENSG00000033170,brake_agonize,Rest,5.1987014,0.2787202088471137,moderate,,small molecule,True,0.0,,,novel_undrugged,False
FUZ,ENSG00000010361,driver_antagonize,Stim8hr,4.3279305,0.0,none,,undetermined,False,,,,not_assessed,False
FXR2,ENSG00000129245,driver_antagonize,Stim8hr,2.7605865,0.2658424790487845,moderate,,undetermined,False,,,,not_assessed,False
FXYD1,ENSG00000266964,driver_antagonize,Stim8hr,4.182964,0.0,none,,undetermined,False,,,,not_assessed,False
FZD6,ENSG00000164930,driver_antagonize,Stim8hr,2.7706177,0.0,none,GPCR,small molecule,True,,,,not_assessed,False
FZR1,ENSG00000105325,driver_antagonize,Stim48hr,3.5876267,0.0,none,,undetermined,False,,,,not_assessed,False
G2E3,ENSG00000092140,driver_antagonize,Stim8hr,2.773606,0.0,none,,undetermined,False,,,,not_assessed,False
G6PD,ENSG00000160211,driver_antagonize,Stim8hr,3.3534636,0.0,none,,undetermined,False,,,,not_assessed,False
GAB2,ENSG00000033327,driver_antagonize,Stim48hr,3.4680812,0.0,none,,undetermined,False,,,,not_assessed,False
GADD45G,ENSG00000130222,driver_antagonize,Stim8hr,2.8076887,0.8061165337980747,strong,,undetermined,False,,,,not_assessed,False
GAL3ST4,ENSG00000197093,driver_antagonize,Stim48hr,3.0440347,0.2129327941473487,weak,,undetermined,False,,,,not_assessed,False
GALE,ENSG00000117308,driver_antagonize,Stim8hr,2.7590423,0.0,none,,undetermined,False,,,,not_assessed,False
GALK2,ENSG00000156958,driver_antagonize,Stim48hr,3.3710403,0.0,none,,undetermined,False,,,,not_assessed,False
GALNT4,ENSG00000257594,driver_antagonize,Rest,3.190006,0.0,none,,undetermined,False,,,,not_assessed,False
GALNT7,ENSG00000109586,brake_agonize,Stim8hr,2.8114002,0.0,none,,undetermined,False,,,,not_assessed,False
GANAB,ENSG00000089597,driver_antagonize,Stim8hr,3.83638,0.0,none,,undetermined,False,,,,not_assessed,False
GARIN1A,ENSG00000205085,driver_antagonize,Stim8hr,2.8751929,0.0,none,,undetermined,False,,,,not_assessed,False
GARRE1,ENSG00000166398,driver_antagonize,Stim8hr,2.9911797,0.0,none,,undetermined,False,,,,not_assessed,False
