perturbation,program_score,emp_z,emp_p,emp_fdr,direction,perturbed_gene
SRF KD human GSE22606 sample 2323,-0.014862491844475946,-0.07758394843898997,0.9381590111802033,0.9998960276301339,driver_antagonize,SRF
NR3C1 KD human GSE50588 sample 2808,0.37790863193698565,2.2164030839308753,0.026663908681927466,0.38543867995657527,brake_agonize,NR3C1
Cdkn1b KO mouse GSE27672 sample 2178,-0.14322179565417834,-0.8344775239670151,0.40401194767480963,0.9998960276301339,driver_antagonize,CDKN1B
Xbp1 KO mouse GSE52857 sample 2765,0.13114822701424023,1.0138464318388163,0.31065603561303556,0.9998960276301339,brake_agonize,XBP1
TGM2 KD human GSE23702 sample 742,-0.2701781837968156,-1.6762499555718449,0.09368924285564287,0.8369267361678209,driver_antagonize,TGM2
RAP1A KO human GSE61900 sample 2906,-0.18209162753456357,-1.1582467264877991,0.24676336477007943,0.9998960276301339,driver_antagonize,RAP1A
FOXM1 KD human GSE2222 sample 1733,0.051199136883951724,0.3530629267636306,0.7240412655108689,0.9998960276301339,brake_agonize,FOXM1
Por KO mouse GSE4262 sample 787,0.183476090462963,1.2133826590533565,0.22498355311466633,0.9998960276301339,brake_agonize,POR
Apod KO mouse GSE28643 sample 514,0.16628051950299944,0.9728094526260188,0.3306480138129221,0.9998960276301339,brake_agonize,APOD
RNF40 KD human GSE38173 sample 1386,0.16164332965854555,0.9800762730162452,0.3270484702539347,0.9998960276301339,brake_agonize,RNF40
Rbm15 KO mouse GSE37047 sample 173,-0.2078040586043657,-1.6027569214944688,0.10898833103019337,0.9029928556084094,driver_antagonize,RBM15
Snca KO mouse GSE19534 sample 470,-0.014862491844475946,-0.08451779627170451,0.9326447540860131,0.9998960276301339,driver_antagonize,SNCA
CMAHP KO mouse GSE59964 sample 2449,-0.33879247825296427,-2.2517974334357698,0.024335075960417386,0.36097208539450687,driver_antagonize,CMAHP
Sirt1 KO mouse GSE14921 sample 322,-0.014862491844475946,0.08845823104701543,0.9295124809476084,0.9998960276301339,driver_antagonize,SIRT1
Pten KO mouse GSE34839 sample 1281,-0.1504952158376744,-0.9210685572001203,0.3570146350012694,0.9998960276301339,driver_antagonize,PTEN
CABIN1 KD human GSE45295 sample 2237,-0.014862491844475946,-0.21689992621902882,0.8282863351041766,0.9998960276301339,driver_antagonize,CABIN1
Irs1 KO mouse GSE2556 sample 2537,-0.08700863658238879,-0.6400906767590828,0.5221136499111172,0.9998960276301339,driver_antagonize,IRS1
Bhlha15 KO mouse GSE3644 sample 785,-0.014862491844475946,-0.45710826887022316,0.6475932271675315,0.9998960276301339,driver_antagonize,BHLHA15
MTDH KD human GSE9187 sample 2693,-0.13650394625834783,-1.070228008166601,0.2845166902246886,0.9998960276301339,driver_antagonize,MTDH
Rb1 KO mouse GSE934 sample 892,-0.13304082887374202,-1.2761007089318541,0.20191992104404788,0.9998960276301339,driver_antagonize,RB1
Aldh1a2 KO mouse GSE43578 sample 3125,0.07581741509916769,0.3343270903969201,0.7381327502054946,0.9998960276301339,brake_agonize,ALDH1A2
LITAF KD human GSE42174 sample 2767,-0.13304082887374202,-1.2333581319386735,0.2174421782596173,0.9998960276301339,driver_antagonize,LITAF
Pten KO mouse GSE16073 sample 2322,0.5194256353424862,3.0185129220818587,0.0025401856843445575,0.06394260515763886,brake_agonize,PTEN
FGFR3 KD human GSE41035 sample 106,-0.014862491844475946,0.015761941392008715,0.9874243110320312,0.9998960276301339,driver_antagonize,FGFR3
Wfs1 KO mouse GSE33372 sample 138,-0.014862491844475946,-0.2589470724021262,0.795676077956946,0.9998960276301339,driver_antagonize,WFS1
Mmp8 KO mouse GSE22971 sample 1687,-0.014862491844475946,-0.16604454259685597,0.8681218967616792,0.9998960276301339,driver_antagonize,MMP8
Vax2 KO mouse GSE19626 sample 2368,-0.011908057664351707,-0.1458402292479909,0.8840475170616395,0.9998960276301339,driver_antagonize,VAX2
Smarca4 KO mouse GSE41608 sample 2383,0.05629350286273455,0.33353026473524344,0.7387340480267632,0.9998960276301339,brake_agonize,SMARCA4
Fosl1 KO mouse GSE43695 sample 429,-0.07542535799174485,-0.42828378812278944,0.6684445205414459,0.9998960276301339,driver_antagonize,FOSL1
Eed KO mouse GSE49305 sample 1482,0.1381274477303536,0.6085805356125474,0.5428025093419366,0.9998960276301339,brake_agonize,EED
Cbfb KO mouse GSE19194 sample 2678,-0.014862491844475946,-0.5362310584134969,0.5917988708552092,0.9998960276301339,driver_antagonize,CBFB
Fshr KO mouse GSE4323 sample 2734,0.05728365839670666,0.4708282793090544,0.6377633681111157,0.9998960276301339,brake_agonize,FSHR
Insm1 KO mouse GSE46139 sample 2229,-0.014862491844475946,-0.10218655038087655,0.9186086031104804,0.9998960276301339,driver_antagonize,INSM1
Nfix KD mouse GSE45492 sample 2846,0.17938737112986433,0.926896240384237,0.3539804094189756,0.9998960276301339,brake_agonize,NFIX
KLF2 KD human GSE55667 sample 2879,-0.01948488864582032,-0.23265170502256238,0.8160318739492,0.9998960276301339,driver_antagonize,KLF2
Nat6 KD mouse GSE36153 sample 2536,0.09383749791463329,0.6747295143425045,0.49984762946495054,0.9998960276301339,brake_agonize,NAT6
Gnmt KO mouse GSE34838 sample 3087,-0.0860184928169474,-0.3916632141529734,0.695307073655243,0.9998960276301339,driver_antagonize,GNMT
GAPDH KD human GSE15723 sample 2239,-0.24174082642209463,-1.8259584256350543,0.06785652442285874,0.6976797581505194,driver_antagonize,GAPDH
Fmr1 KO mouse GSE40630 sample 2419,-0.19743566793939946,-1.529750328351533,0.12607854085192446,0.9559741608242772,driver_antagonize,FMR1
Rarb KO mouse GSE19925 sample 2999,-0.014862491844475946,-0.0045355343276181044,0.9963811795921753,0.9998960276301339,driver_antagonize,RARB
CMAHP KO mouse GSE59964 sample 2448,0.2998871875567023,1.871521618978053,0.06127281618864507,0.6482486350392884,brake_agonize,CMAHP
ESR1 KD human GSE27473 sample 480,-0.0705405084352771,-0.41457021889236967,0.6784565532541021,0.9998960276301339,driver_antagonize,ESR1
PTK7 KD human GSE50138 sample 702,0.1301427710356868,0.9299535988133266,0.35239510973803545,0.9998960276301339,brake_agonize,PTK7
Ptbp2 KO mouse GSE47565 sample 2876,-0.29733691162387416,-1.7670883202555543,0.0772134382377408,0.7565880525308829,driver_antagonize,PTBP2
Myc KO mouse GSE58079 sample 2553,0.7965879336909645,4.560013872380667,5.115024166250567e-06,0.00037339676413629137,brake_agonize,MYC
MIR122 KO mouse GSE31453 sample 2408,0.16734183235728944,0.9057586123581183,0.3650636316821466,0.9998960276301339,brake_agonize,MIR122
FLI1 KD human GSE27524 sample 1599,-0.1160299988061359,-0.9085010553495706,0.363613556434527,0.9998960276301339,driver_antagonize,FLI1
MYC KD human GSE5823 sample 140,0.20231387818189847,1.144232269750374,0.25252732362447605,0.9998960276301339,brake_agonize,MYC
ARID1A KD human GSE37684 sample 1070,-0.27124860928266903,-1.4221124209609457,0.15499361751574584,0.9998960276301339,driver_antagonize,ARID1A
Por KO mouse GSE4262 sample 790,-0.014862491844475946,-0.1885059374191675,0.85048006156513,0.9998960276301339,driver_antagonize,POR
STAT2 KD human GSE50588 sample 2800,0.06740480897397819,0.41416605586321703,0.6787524991043241,0.9998960276301339,brake_agonize,STAT2
SYK KD human GSE16200 sample 467,-0.23900843823370946,-1.3670104646590215,0.17162202545322325,0.9998960276301339,driver_antagonize,SYK
Dgcr8 KO mouse GSE58493 sample 2474,0.09646645593668589,0.6578536106218643,0.5106322016875057,0.9998960276301339,brake_agonize,DGCR8
FLI1 KD human GSE27524 sample 1596,0.051199136883951724,0.29421633370919126,0.7685926002310512,0.9998960276301339,brake_agonize,FLI1
Cyp27b1 KO mouse GSE40375 sample 2404,-0.05788171906235882,-0.3708213258674212,0.7107706163007081,0.9998960276301339,driver_antagonize,CYP27B1
Prkaca KO mouse GSE2413 sample 939,-0.04703040038955144,-0.2351938349524853,0.8140582908033622,0.9998960276301339,driver_antagonize,PRKACA
Stub1 KO mouse GSE59672 sample 2581,-0.014862491844475946,-0.13653629276841536,0.8913973357003163,0.9998960276301339,driver_antagonize,STUB1
NCOA1 KD human GSE28645 sample 888,0.42552202464801003,2.5752771179539087,0.010015980284773495,0.1949777495435907,brake_agonize,NCOA1
ZXDC KD human GSE45417 sample 531,0.2619251309026202,2.0309019510288158,0.042264941838535165,0.5460780095952331,brake_agonize,ZXDC
Pebp1 KO mouse GSE31150 sample 79,0.09646645593668589,0.7845989060076008,0.43268877168402686,0.9998960276301339,brake_agonize,PEBP1
