perturbation,program_score,emp_z,emp_p,emp_fdr,direction,perturbed_gene
Clpp KO mouse GSE40207 sample 566,-0.1475715027296577,-0.8388082536190465,0.40157691837341725,0.9998960276301339,driver_antagonize,CLPP
Bcl11b KO mouse GSE9330 sample 28,-0.014862491844475946,-0.4006574180458619,0.6886723656029878,0.9998960276301339,driver_antagonize,BCL11B
Dusp1 KO mouse GSE3565 sample 800,-0.15828721776646984,-1.3995270352106115,0.16165499700185526,0.9998960276301339,driver_antagonize,DUSP1
CEBPG KD human GSE50588 sample 2784,0.08204465824052352,0.4365130187805306,0.6624645556695239,0.9998960276301339,brake_agonize,CEBPG
Trp53inp2 KO mouse GSE54917 sample 571,-0.14436539784285493,-0.901402895742062,0.3673741423297473,0.9998960276301339,driver_antagonize,TRP53INP2
FGFR3 KD human GSE41035 sample 1018,-0.014862491844475946,-0.12470287134715627,0.9007587841420381,0.9998960276301339,driver_antagonize,FGFR3
Mapk14 KD mouse GSE7342 sample 560,0.10692307208029722,0.41108583146871863,0.6810095988354552,0.9998960276301339,brake_agonize,MAPK14
Dmd KO mouse GSE466 sample 880,-0.014862491844475946,-0.12694700798006792,0.8989823405973306,0.9998960276301339,driver_antagonize,DMD
CTNNB1 KO mouse GSE9629 sample 999,-0.014862491844475946,-0.25689788674744185,0.7972576019803389,0.9998960276301339,driver_antagonize,CTNNB1
Itk KO mouse GSE12466 sample 1554,0.4315167795549231,3.604581215662973,0.00031265666948814794,0.012012598354018316,brake_agonize,ITK
FLI1 KD human GSE27524 sample 1611,-0.014862491844475946,-0.018856637142971863,0.984955471930983,0.9998960276301339,driver_antagonize,FLI1
Dicer1 KO mouse GSE35844 sample 612,-0.014862491844475946,-0.1405817371804368,0.8882003765588975,0.9998960276301339,driver_antagonize,DICER1
HCST KD human GSE50588 sample 2820,0.45089909894688224,2.535898443104247,0.011215925534980761,0.21546383264568303,brake_agonize,HCST
Prkca KO mouse GSE3915 sample 327,-0.014862491844475946,-0.24919201747053857,0.8032122538442522,0.9998960276301339,driver_antagonize,PRKCA
Apc KD mouse GSE422 sample 1532,0.10331584133250131,0.4384581787445413,0.6610541802658265,0.9998960276301339,brake_agonize,APC
Gata1 KD mouse GSE2527 sample 108,-0.08700863658238879,-0.42296864669759043,0.6723181366476838,0.9998960276301339,driver_antagonize,GATA1
Gykl1 KO mouse GSE3843 sample 154,-0.014862491844475946,-0.20964668080562232,0.8339434431515043,0.9998960276301339,driver_antagonize,GYKL1
Ctcf DEPLETION mouse GSE11664 sample 124,-0.014862491844475946,-0.14865462133277044,0.8818261702031209,0.9998960276301339,driver_antagonize,CTCF
Dusp1 KO mouse GSE3565 sample 802,0.6057964848163961,5.1753591001252195,2.2747304227554406e-07,2.5546972440176488e-05,brake_agonize,DUSP1
MYC KD human GSE5823 sample 2075,-0.08920867788732391,-0.4115340212617098,0.6806810000529793,0.9998960276301339,driver_antagonize,MYC
GSK3A KD human GSE35200 sample 2705,-0.014862491844475946,-0.1685675469650098,0.8661368089828605,0.9998960276301339,driver_antagonize,GSK3A
Ndel1 KO mouse GSE35366 sample 1615,-0.014862491844475946,-0.13969655615433582,0.8888997475161199,0.9998960276301339,driver_antagonize,NDEL1
Tia1 KO mouse GSE54418 sample 2543,-0.014862491844475946,-0.22338593945981838,0.82323514654756,0.9998960276301339,driver_antagonize,TIA1
CMAHP KO mouse GSE16438 sample 835,-0.014862491844475946,-0.10347945822970435,0.9175824519220581,0.9998960276301339,driver_antagonize,CMAHP
Gsk3b KO mouse GSE27395 sample 1806,-0.014862491844475946,0.07498080242368435,0.9402299863351504,0.9998960276301339,driver_antagonize,GSK3B
Tcof1 KD mouse GSE10167 sample 1497,-0.014862491844475946,-0.0012422583530864615,0.999008821494476,0.9998960276301339,driver_antagonize,TCOF1
TRAF6 shRNA human GSE38519 sample 1134,0.21616184613032435,1.0733706639546352,0.2831048414475582,0.9998960276301339,brake_agonize,TRAF6
Atf6b KO mouse GSE35651 sample 2660,0.3835098415253345,2.249560247860001,0.024476874283600125,0.36097208539450687,brake_agonize,ATF6B
Nfya KD mouse GSE56838 sample 1341,-0.014862491844475946,-0.07284051619829147,0.9419330293080763,0.9998960276301339,driver_antagonize,NFYA
Tet2 KO mouse GSE27816 sample 458,0.05728365839670666,0.402257505608362,0.6874945248812337,0.9998960276301339,brake_agonize,TET2
Rptor KO mouse GSE55490 sample 1484,0.24279223461847074,1.6023014195450256,0.10908897193527856,0.9029928556084094,brake_agonize,RPTOR
Hdac1 KO mouse GSE5583 sample 94,-0.014862491844475946,-0.14728145084766436,0.8829098728880624,0.9998960276301339,driver_antagonize,HDAC1
Prkaca KO mouse GSE2413 sample 938,-0.45833704075564374,-2.7432779076017155,0.006082918059366289,0.13255313980111616,driver_antagonize,PRKACA
Rb1 KO mouse GSE6206 sample 1164,0.10692307208029722,0.9168116693126113,0.3592413366616555,0.9998960276301339,brake_agonize,RB1
B2M KO human GSE42289 sample 1499,-0.014862491844475946,-0.16390936171631879,0.8698024971941628,0.9998960276301339,driver_antagonize,B2M
RB1 KD human GSE50532 sample 684,-0.04899267785632136,-0.5831616179428417,0.5597845066569458,0.9998960276301339,driver_antagonize,RB1
Smad4 KO mouse GSE49826 sample 2401,-0.15406702442983675,-1.2115549992073615,0.22568276934500764,0.9998960276301339,driver_antagonize,SMAD4
Eed KO mouse GSE49305 sample 1479,0.1613471466857432,0.592617652551028,0.5534370626182876,0.9998960276301339,brake_agonize,EED
Mut KO mouse GSE41044 sample 2986,0.317359211971052,2.0159295332337215,0.04380734487025081,0.5466557565005656,brake_agonize,MUT
RNF40 KD human GSE38173 sample 1380,-0.014862491844475946,-0.13094552283636807,0.8958184026778038,0.9998960276301339,driver_antagonize,RNF40
Tfap2c KO mouse GSE45941 sample 1490,-0.014862491844475946,-0.02067118160369962,0.9835079578552998,0.9998960276301339,driver_antagonize,TFAP2C
Clpp KO mouse GSE40207 sample 134,0.11784652285066179,0.7423282122512663,0.4578885025731567,0.9998960276301339,brake_agonize,CLPP
PPARGC1A KD human GSE36879 sample 2871,0.10331584133250131,0.8080693056494598,0.41905068618189323,0.9998960276301339,brake_agonize,PPARGC1A
Pml KO mouse GSE39220 sample 537,-0.16381722084373573,-0.77045615771236,0.4410293522400994,0.9998960276301339,driver_antagonize,PML
Zfx KO mouse GSE7069 sample 178,-0.15986775709527798,-1.2073544390685902,0.22729567371693493,0.9998960276301339,driver_antagonize,ZFX
Psap KO mouse GSE8307 sample 2488,-0.014862491844475946,0.28581154787549706,0.7750224629912682,0.9998960276301339,driver_antagonize,PSAP
Nfe2l2 KO mouse GSE18344 sample 963,-0.014862491844475946,0.14145681455950396,0.8875090739107186,0.9998960276301339,driver_antagonize,NFE2L2
Arhgap5 KD mouse GSE53388 sample 2619,0.243611942415803,1.4690668087017462,0.14181466929388806,0.9906670677946248,brake_agonize,ARHGAP5
NFXL1 KD human GSE23674 sample 2439,-0.014862491844475946,0.05051305786165729,0.9597135440201221,0.9998960276301339,driver_antagonize,NFXL1
PIAS1 KD human GSE44024 sample 160,0.1868318546118892,1.4756738940802943,0.1400314574211628,0.9906670677946248,brake_agonize,PIAS1
SP3 KD human GSE7102 sample 1548,-0.014862491844475946,0.17611149881900331,0.8602063473666597,0.9998960276301339,driver_antagonize,SP3
Irs1 KO mouse GSE2556 sample 330,-0.08700863658238879,-0.8870863907084241,0.37503239054750626,0.9998960276301339,driver_antagonize,IRS1
Prdm14 KO mouse GSE42580 sample 1714,-0.014862491844475946,0.0760913689985792,0.9393464067756693,0.9998960276301339,driver_antagonize,PRDM14
ZNF395 KD human GSE49613 sample 813,-0.06697920014531436,-0.5479855855709045,0.5837018004150882,0.9998960276301339,driver_antagonize,ZNF395
Klf7 KO mouse GSE3595 sample 95,-0.014862491844475946,-0.23429476893931733,0.8147561467024927,0.9998960276301339,driver_antagonize,KLF7
Runx1 KO mouse GSE47375 sample 2899,-0.014862491844475946,-0.049767649311032454,0.9603075468330393,0.9998960276301339,driver_antagonize,RUNX1
VPRBP KD human GSE50414 sample 117,-0.08092412751549008,-0.5946237978350588,0.5520949689042631,0.9998960276301339,driver_antagonize,VPRBP
MIR20A KD human GSE19690 sample 807,0.051199136883951724,0.097318649663849,0.9224733460079355,0.9998960276301339,brake_agonize,MIR20A
Emd KO mouse GSE5304 sample 1199,-0.014862491844475946,-0.12739473433544393,0.8986279836766142,0.9998960276301339,driver_antagonize,EMD
Socs3 KO mouse GSE411 sample 2451,0.016643962219611487,-0.06410783393979094,0.9488843640977838,0.9998960276301339,brake_agonize,SOCS3
PRKCDBP KD human GSE50982 sample 1768,0.2653556757458401,2.002687059225014,0.04521088866063505,0.5477725215823069,brake_agonize,PRKCDBP
SOX2 KD human GSE34904 sample 1351,-0.014862491844475946,0.0011246792040060692,0.9991026360164473,0.9998960276301339,driver_antagonize,SOX2
Srf KO mouse GSE1948 sample 1158,-0.13304082887374202,-1.064693591801447,0.28701461091465796,0.9998960276301339,driver_antagonize,SRF
MYC KD human GSE54872 sample 1311,-0.17662760900037194,-1.1448755823803036,0.25226070010628565,0.9998960276301339,driver_antagonize,MYC
Cebpa KO mouse GSE61468 sample 1476,0.30807193282949313,2.062457207793464,0.03916422760823304,0.51937123617475,brake_agonize,CEBPA
TERC KO mouse GSE2498 sample 996,-0.11722287244629115,-0.4415966534448238,0.658781106106324,0.9998960276301339,driver_antagonize,TERC
Prkcz KO mouse GSE29145 sample 1241,0.10677896790333431,0.45458165205949075,0.6494102371830852,0.9998960276301339,brake_agonize,PRKCZ
Ffar4 KO mouse GSE32095 sample 440,-0.014862491844475946,-0.5459688593216564,0.5850873432697541,0.9998960276301339,driver_antagonize,FFAR4
Panct1 KD mouse GSE29798 sample 1352,-0.014862491844475946,-0.23158142296098652,0.8168631376335616,0.9998960276301339,driver_antagonize,PANCT1
Aldh5a1 KO mouse GSE2866 sample 1209,-0.014862491844475946,-0.31323773222037954,0.7541000536239042,0.9998960276301339,driver_antagonize,ALDH5A1
Por KO mouse GSE2362 sample 524,-0.014862491844475946,-0.17603342406318248,0.8602676838402172,0.9998960276301339,driver_antagonize,POR
Nfyc KD mouse GSE56838 sample 1343,-0.014862491844475946,-0.3189404141198161,0.7497716973804733,0.9998960276301339,driver_antagonize,NFYC
Kat5 KD mouse GSE11240 sample 1356,0.18731292920314113,0.6078866541790839,0.5432626515927116,0.9998960276301339,brake_agonize,KAT5
RB1 KD human GSE50532 sample 654,0.012437327500348065,0.06291459112482853,0.9498345158259263,0.9998960276301339,brake_agonize,RB1
ATM KD human GSE54268 sample 690,-0.08092412751549008,-0.19688107289296494,0.8439206054296091,0.9998960276301339,driver_antagonize,ATM
S1pr2 KO mouse GSE7191 sample 2552,-0.014862491844475946,-0.38111423537455985,0.703118484836632,0.9998960276301339,driver_antagonize,S1PR2
Mut KD mouse GSE41044 sample 2736,0.13409224485936153,0.7304514612921041,0.46511427218857393,0.9998960276301339,brake_agonize,MUT
Rpe65 KD mouse GSE3249 sample 1143,0.09646645593668589,0.5224042606641247,0.6013888901042478,0.9998960276301339,brake_agonize,RPE65
Hdc KO mouse GSE23502 sample 3002,0.13577694973950696,0.5677432043911643,0.5702093502418504,0.9998960276301339,brake_agonize,HDC
Hsd17b4 KO mouse GSE10895 sample 530,-0.014862491844475946,-0.0077709353678399075,0.9937997530499029,0.9998960276301339,driver_antagonize,HSD17B4
CBFA2T3 KD human GSE20115 sample 485,0.1315615232504735,0.6862730828657093,0.4925409194827872,0.9998960276301339,brake_agonize,CBFA2T3
Fosl1 KO mouse GSE43695 sample 2302,-0.23281913236926563,-1.4704432708352555,0.14144173933828227,0.9906670677946248,driver_antagonize,FOSL1
UBB KO mouse GSE27568 sample 521,-0.014862491844475946,0.272393598402635,0.7853193944102905,0.9998960276301339,driver_antagonize,UBB
Eed KO mouse GSE49305 sample 1480,0.11464040881996466,0.31255498363383666,0.7546187834879751,0.9998960276301339,brake_agonize,EED
Rp1 KO mouse GSE128 sample 1774,-0.014862491844475946,-0.19852985571772414,0.8426305281194528,0.9998960276301339,driver_antagonize,RP1
Eed KO mouse GSE49305 sample 1481,-0.014862491844475946,-0.3101256200894059,0.756465430078871,0.9998960276301339,driver_antagonize,EED
FOXO3 KO mouse GSE18326 sample 2698,-0.014862491844475946,0.019957947799056103,0.9840769186722845,0.9998960276301339,driver_antagonize,FOXO3
Dicer1 KO mouse GSE26822 sample 2682,-0.014862491844475946,-0.039673027832944636,0.968353805412918,0.9998960276301339,driver_antagonize,DICER1
Elavl1 KO mouse GSE49225 sample 2837,-0.2204306232425469,-1.3127156922491683,0.18927876785112585,0.9998960276301339,driver_antagonize,ELAVL1
SIRT1 KD human GSE30486 sample 2353,-0.2657498397589238,-1.5959564940435997,0.11049850700046666,0.9029928556084094,driver_antagonize,SIRT1
FLI1 KD human GSE27524 sample 1598,-0.007330009047026661,-0.3802783650694021,0.703738793531848,0.9998960276301339,driver_antagonize,FLI1
Il10 KO mouse GSE39859 sample 1098,-0.19296389090066607,-1.3137536254976443,0.1889291282897958,0.9998960276301339,driver_antagonize,IL10
PSMB9 KO human GSE23702 sample 1567,0.26059362054167484,1.4331678082449226,0.15180988698550874,0.9998960276301339,brake_agonize,PSMB9
GSK3A KD human GSE35200 sample 209,-0.12619144131895155,-1.1764139033934937,0.23942951854887862,0.9998960276301339,driver_antagonize,GSK3A
Prdm16 DEPLETION mouse GSE35011 sample 487,0.045700372609479185,0.5692093845737645,0.5692140527088787,0.9998960276301339,brake_agonize,PRDM16
FOXP1 KD human GSE32968 sample 1809,0.5401500145354393,3.56152607663264,0.0003687054803388653,0.012816904792731985,brake_agonize,FOXP1
PDCD10 KD human GSE54095 sample 3040,-0.39718008889097045,-2.5304820569589346,0.011390591077002132,0.21597744120030019,driver_antagonize,PDCD10
PARK2 KD human GSE50864 sample 1796,-0.36265996408606455,-2.273930846237984,0.02297014472147891,0.3520472917266957,driver_antagonize,PARK2
CTNNB1 KO mouse GSE7430 sample 1462,-0.014862491844475946,-0.19129708453638158,0.8482928451173459,0.9998960276301339,driver_antagonize,CTNNB1
Rest KD mouse GSE28141 sample 1331,0.1993571210716089,0.9957763929897389,0.31935880282773754,0.9998960276301339,brake_agonize,REST
Prmt1 KD mouse GSE47214 sample 1707,-0.014862491844475946,0.4054747460294831,0.6851285779331907,0.9998960276301339,driver_antagonize,PRMT1
NRAS DEPLETION - siRNA siMut10 human GSE12445 sample 1021,-0.08092412751549008,-0.4264044025996129,0.6698131938916754,0.9998960276301339,driver_antagonize,NRAS
Ppara KO mouse GSE6864 sample 1371,0.13577694973950696,1.0575317394814487,0.29026897705771804,0.9998960276301339,brake_agonize,PPARA
Clpp KO mouse GSE40207 sample 1576,0.11784652285066179,0.7455838626662558,0.4559188341148941,0.9998960276301339,brake_agonize,CLPP
ZHX2 KD human GSE50588 sample 2814,0.11189068742731417,0.7194197960696931,0.47188230318787494,0.9998960276301339,brake_agonize,ZHX2
ETS2 KD human GSE43459 sample 156,0.1301427710356868,0.7968743074843879,0.42552403375590653,0.9998960276301339,brake_agonize,ETS2
TFAP2C KD human GSE15481 sample 2964,0.09933626049579206,0.7628436126402656,0.44555666784673054,0.9998960276301339,brake_agonize,TFAP2C
FGFR3 KD human GSE41035 sample 104,0.1282011263643984,0.9542912650609855,0.3399362283122378,0.9998960276301339,brake_agonize,FGFR3
EGR3 KD human GSE52108 sample 2231,-0.1544284583175216,-0.8000661035917885,0.4236724988751953,0.9998960276301339,driver_antagonize,EGR3
Pink1 KO mouse GSE60413 sample 2275,0.1301427710356868,0.6652339773923189,0.5059008515144803,0.9998960276301339,brake_agonize,PINK1
Nrg4 KO mouse GSE53877 sample 2900,0.13577694973950696,0.7869134649043015,0.43133252472180816,0.9998960276301339,brake_agonize,NRG4
Pink1 KO mouse GSE60413 sample 2268,-0.014862491844475946,-0.08343813845483379,0.9335031641224804,0.9998960276301339,driver_antagonize,PINK1
Clcn5 KO mouse GSE10162 sample 997,-0.014862491844475946,-0.020647921248099745,0.9835265129736682,0.9998960276301339,driver_antagonize,CLCN5
RB1 KD human GSE50532 sample 650,0.0127246649406681,0.3636400701570444,0.7161268006871332,0.9998960276301339,brake_agonize,RB1
Cstb KO mouse GSE47516 sample 2228,0.05728365839670666,0.6497955215348444,0.5158243121735442,0.9998960276301339,brake_agonize,CSTB
Dhcr7 KO mouse GSE39811 sample 3081,-0.014862491844475946,-0.1061671881616092,0.9154497038326402,0.9998960276301339,driver_antagonize,DHCR7
PAX5 KD human GSE50588 sample 2810,-0.15939537489744413,-1.1147509512538303,0.2649571604088681,0.9998960276301339,driver_antagonize,PAX5
Arid3a KD mouse GSE56853 sample 1337,-0.014862491844475946,-0.2013184737960023,0.8404495582739163,0.9998960276301339,driver_antagonize,ARID3A
Cdx2 KO mouse GSE12999 sample 773,-0.014862491844475946,-0.8946870394691413,0.3709544088335798,0.9998960276301339,driver_antagonize,CDX2
Klf13 KO mouse GSE25502 sample 1821,0.1372705062914809,0.7096875024717402,0.4778979438216334,0.9998960276301339,brake_agonize,KLF13
Bmpr1a KO mouse GSE48092 sample 1623,-0.014862491844475946,-0.43587954267847145,0.6629241284461846,0.9998960276301339,driver_antagonize,BMPR1A
E2F6 KD human GSE50588 sample 2807,0.4724671327699484,2.638913334502964,0.00831722403947943,0.1686548208005551,brake_agonize,E2F6
MIF DEPLETION human GSE10241 sample 122,-0.014862491844475946,-0.18717985024951714,0.8515196227938738,0.9998960276301339,driver_antagonize,MIF
Pmp22 KO mouse GSE1947 sample 947,-0.014862491844475946,-0.1478810396559794,0.8824366518351981,0.9998960276301339,driver_antagonize,PMP22
PCGF2 KD human GSE7578 sample 130,0.051199136883951724,0.38470416929338436,0.7004566058594948,0.9998960276301339,brake_agonize,PCGF2
Esr1 KO mouse GSE9371 sample 2430,0.1300100315764377,0.6510670871640025,0.5150031814129177,0.9998960276301339,brake_agonize,ESR1
MYC KD human GSE54872 sample 1308,-0.014862491844475946,-0.17186722369092114,0.863541914823186,0.9998960276301339,driver_antagonize,MYC
RNF185 KD human GSE47685 sample 1779,-0.18962412506384266,-1.5100735085008756,0.13102466835592924,0.9675077052429745,driver_antagonize,RNF185
HDAC2 KD human GSE22366 sample 1413,0.09558170093011788,0.5232605375464086,0.6007929587095749,0.9998960276301339,brake_agonize,HDAC2
TGFB1I1 KD human GSE46448 sample 1212,-0.014862491844475946,0.005267351370993701,0.9957972810988353,0.9998960276301339,driver_antagonize,TGFB1I1
Lmna KO mouse GSE8000 sample 1518,-0.014862491844475946,0.077707519527847,0.9380607124779212,0.9998960276301339,driver_antagonize,LMNA
Akt1 KO mouse GSE2746 sample 222,-0.13664805763189428,-1.2177565770327723,0.22331649002355813,0.9998960276301339,driver_antagonize,AKT1
Hnf4a KO mouse GSE3124 sample 200,-0.07542535799174485,-0.3776040235705463,0.7057247752478937,0.9998960276301339,driver_antagonize,HNF4A
RB1 KD human GSE50532 sample 683,-0.08092412751549008,-0.6265801974706939,0.5309344522363162,0.9998960276301339,driver_antagonize,RB1
Ahnak KO mouse GSE37218 sample 2511,-0.07269123184960335,-0.13130678444125674,0.895532625053467,0.9998960276301339,driver_antagonize,AHNAK
ALK KD human GSE7578 sample 132,0.051199136883951724,0.4208453595172064,0.6738680068359321,0.9998960276301339,brake_agonize,ALK
Egr2 KD mouse GSE53388 sample 2344,-0.17735412112564186,-1.1263741088391706,0.2600072011490061,0.9998960276301339,driver_antagonize,EGR2
Gata1 KO mouse GSE40273 sample 1062,0.0973439701430669,0.5327648959751581,0.5941963367500733,0.9998960276301339,brake_agonize,GATA1
Gtf2i KO mouse GSE48790 sample 1451,-0.07542535799174485,-0.4860627251018762,0.6269226940599752,0.9998960276301339,driver_antagonize,GTF2I
PTEN KD human GSE7562 sample 126,-0.014862491844475946,-0.2332996052969635,0.8155287650782874,0.9998960276301339,driver_antagonize,PTEN
Gadd45a KO mouse GSE43318 sample 3108,-0.12619144131895155,-1.0908655258161857,0.2753320584532224,0.9998960276301339,driver_antagonize,GADD45A
RASGRF1 KD human GSE8425 sample 314,-0.014862491844475946,0.019634716087795965,0.9843347697329486,0.9998960276301339,driver_antagonize,RASGRF1
Emd KO mouse GSE6399 sample 839,-0.014862491844475946,0.0652007266975737,0.9480141825409703,0.9998960276301339,driver_antagonize,EMD
Runx1 KO mouse GSE2592 sample 278,-0.014862491844475946,-0.311148584694584,0.755687667686259,0.9998960276301339,driver_antagonize,RUNX1
ARHGDIB KD human GSE8087 sample 661,-0.014862491844475946,0.14642851784995015,0.8835831159456861,0.9998960276301339,driver_antagonize,ARHGDIB
Dot1l DELETION mouse GSE25911 sample 455,-0.0860184928169474,-0.4692973708236042,0.6388570942931759,0.9998960276301339,driver_antagonize,DOT1L
CTNNB1 KO human GSE63072 sample 2583,-0.2290190348973159,-1.6456523720655285,0.09983535002364446,0.869148966807815,driver_antagonize,CTNNB1
RBBP8 DEPLETION human GSE4754 sample 149,0.051199136883951724,0.7528486430169853,0.4515408724244382,0.9998960276301339,brake_agonize,RBBP8
FLI1 KD human GSE27524 sample 1597,0.005611460941674357,-0.06239560436109647,0.9502477953529799,0.9998960276301339,brake_agonize,FLI1
HDAC2 KD human GSE52232 sample 2890,-0.19910246454475616,-1.526477030733462,0.1268911065224894,0.9559741608242772,driver_antagonize,HDAC2
PARK7 KO human GSE17204 sample 2413,-0.014862491844475946,-0.19122517839170564,0.848349178086383,0.9998960276301339,driver_antagonize,PARK7
Bach2 KO mouse GSE42598 sample 2778,0.29773658948992804,1.6814566686424928,0.09267424627072433,0.8352123429336885,brake_agonize,BACH2
Zfx KO mouse GSE36921 sample 1491,0.05629350286273455,0.2836035252182803,0.7767142352610208,0.9998960276301339,brake_agonize,ZFX
RARRES1 KD human GSE30543 sample 341,-0.12356248939282853,-0.852446047245,0.3939665720311565,0.9998960276301339,driver_antagonize,RARRES1
Taf7l KO mouse GSE5510 sample 583,-0.014862491844475946,0.06185664220182791,0.9506769958508311,0.9998960276301339,driver_antagonize,TAF7L
Dnmt1 KO mouse GSE27434 sample 1052,1.2075967171060091,7.714229589572336,1.2171519900132178e-14,4.442604763548245e-12,brake_agonize,DNMT1
Tlr4 KO mouse GSE20715 sample 1144,-0.014862491844475946,0.1918795888388706,0.8478365261019771,0.9998960276301339,driver_antagonize,TLR4
Pycard KO mouse GSE30769 sample 2770,0.04173588142095303,0.24871785119467163,0.8035790394189049,0.9998960276301339,brake_agonize,PYCARD
RAP1A KO human GSE61900 sample 2904,-0.1959623024820096,-0.9258354361241582,0.35453150840605907,0.9998960276301339,driver_antagonize,RAP1A
TP53BP1 KD human GSE54268 sample 696,-0.08092412751549008,-0.26224334886528067,0.7931338349107644,0.9998960276301339,driver_antagonize,TP53BP1
PTPN1 KD human GSE54157 sample 700,0.9887213765072044,5.709340978594507,1.1341446857194282e-08,1.8398347123892947e-06,brake_agonize,PTPN1
Trib1 KO mouse GSE8788 sample 582,0.0954467899441211,0.7821622898823106,0.43411920327990516,0.9998960276301339,brake_agonize,TRIB1
Onecut1 KO mouse GSE57917 sample 1440,-0.2195637529737062,-1.5972613242887697,0.11020746808632442,0.9029928556084094,driver_antagonize,ONECUT1
FLI1 KD human GSE27524 sample 1605,0.051199136883951724,0.2241287502549775,0.8226571220140659,0.9998960276301339,brake_agonize,FLI1
Tfam KO mouse GSE44605 sample 2607,-0.014862491844475946,0.027956643811051708,0.9776967308447666,0.9998960276301339,driver_antagonize,TFAM
Rora KO mouse GSE23736 sample 1154,-0.014862491844475946,0.25223709305938613,0.8008578086440082,0.9998960276301339,driver_antagonize,RORA
Ikbkb KO mouse GSE30049 sample 2245,-0.29944994483693416,-2.0222640081244516,0.043149084794052085,0.5466557565005656,driver_antagonize,IKBKB
CCND1 KD human GSE8866 sample 2163,-0.014862491844475946,-0.055761513810653036,0.9555317947458878,0.9998960276301339,driver_antagonize,CCND1
NRAS DEPLETION - siRNA siMut12 human GSE12445 sample 1029,-0.014862491844475946,-0.12425357673621117,0.9011145027697021,0.9998960276301339,driver_antagonize,NRAS
KDM6B KD human GSE28155 sample 2984,0.6071121936388821,3.611709706662529,0.00030418496175259796,0.012002974166453866,brake_agonize,KDM6B
Tal1 KO mouse GSE46970 sample 1447,-0.014862491844475946,-0.20048011284159706,0.8411051099253813,0.9998960276301339,driver_antagonize,TAL1
Myd88 Deletion mouse GSE6376 sample 2943,0.6360393446679651,3.7508650982937675,0.00017622549911514436,0.00918890102528967,brake_agonize,MYD88
Gata6 KO mouse GSE47049 sample 2225,-0.014862491844475946,-0.17241489495810222,0.8631113630443754,0.9998960276301339,driver_antagonize,GATA6
Zbtb7a KO mouse GSE41839 sample 2380,0.5952946972419423,3.705161115315092,0.00021125640620533271,0.009346495547266236,brake_agonize,ZBTB7A
TGFB1I1 KD human GSE47203 sample 1825,-0.014862491844475946,0.3683054248165842,0.7126455079778037,0.9998960276301339,driver_antagonize,TGFB1I1
NR5A2 KD human GSE47803 sample 1818,0.5566729900151999,3.29578201572015,0.0009814813842824966,0.02996071705131391,brake_agonize,NR5A2
BAHD1 KD human GSE16097 sample 2975,-0.014862491844475946,-0.16258436764571774,0.8708456960246946,0.9998960276301339,driver_antagonize,BAHD1
E2f2 KD mouse GSE24594 sample 474,0.05728365839670666,0.5688172827924877,0.5694801446808394,0.9998960276301339,brake_agonize,E2F2
VIM KD human GSE17802 sample 814,-0.13304082887374202,-1.1450283452659398,0.25219741575394994,0.9998960276301339,driver_antagonize,VIM
Slc9a3 KO mouse GSE10740 sample 522,-0.014862491844475946,-0.24315023975631325,0.8078890130772234,0.9998960276301339,driver_antagonize,SLC9A3
COMMD3-BMI1 KD human GSE7578 sample 129,0.051199136883951724,0.222252470562956,0.8241173497582545,0.9998960276301339,brake_agonize,COMMD3-BMI1
EZH2 DEPLETION human GSE6015 sample 144,0.09646645593668589,0.7052377523524029,0.4806622909642698,0.9998960276301339,brake_agonize,EZH2
Dmrt1 KO mouse GSE27261 sample 2740,-0.11722287244629115,-0.4782967400426744,0.6324390163081575,0.9998960276301339,driver_antagonize,DMRT1
Ndel1 KO mouse GSE35366 sample 1640,-0.014862491844475946,-0.13601749489604878,0.8918074505705749,0.9998960276301339,driver_antagonize,NDEL1
ERG KD human GSE14801 sample 827,-0.020947007853961128,0.036919093133073407,0.9705495160058953,0.9998960276301339,driver_antagonize,ERG
MYC KD human GSE54872 sample 1313,0.029255229207179087,0.1783146494746224,0.8584758745654086,0.9998960276301339,brake_agonize,MYC
MYC KD human GSE5823 sample 2226,-0.23203884485304693,-1.5684573695444528,0.11677443143152438,0.9367619224726681,driver_antagonize,MYC
Kdm1a KD mouse GSE25423 sample 302,-0.08685473827856847,-0.9263065547673003,0.35428669045919625,0.9998960276301339,driver_antagonize,KDM1A
Gata4 KO mouse GSE11194 sample 510,0.07521408528555185,0.5968462428296122,0.5506100408153478,0.9998960276301339,brake_agonize,GATA4
Tet2 KO mouse GSE27816 sample 456,-0.014862491844475946,-0.08745625410937605,0.9303088563077306,0.9998960276301339,driver_antagonize,TET2
Nr1i3 KO mouse GSE40120 sample 3054,0.045700372609479185,0.09160993955556179,0.9270079540385727,0.9998960276301339,brake_agonize,NR1I3
Aire KO mouse GSE2515 sample 60,0.17476450629659335,1.173242891498704,0.24069841637675082,0.9998960276301339,brake_agonize,AIRE
BAP1 KO human GSE36895 sample 2718,0.19154230521102858,1.5724449590384404,0.11584739452317586,0.9344596464300373,brake_agonize,BAP1
Hnf4a KO mouse GSE11759 sample 2360,-0.28137648271777754,-1.5296095790673327,0.12611339696209228,0.9559741608242772,driver_antagonize,HNF4A
BCL6 KD human GSE45838 sample 1816,-0.2861513443905013,-2.412429761658928,0.015846590396370454,0.2690235113802426,driver_antagonize,BCL6
