target_gene,ensembl_id,peak_condition,direction,abs_emp_z,peak_signed_score,genetics_autoimmune,autoimmune_ot_score,ot_autoimmune_disease,ot_top_disease,ot_top_score,lof_bin,lof_constrained,mis_z,genetics_tier
NDUFS8,ENSG00000110717,Stim8hr,driver_antagonize,4.4736404,-0.669224,0.0,0.0,,,,,False,,none
NECAB3,ENSG00000125967,Rest,driver_antagonize,3.5193257,-0.53115314,0.0,0.0,,,,,False,,none
NECAP1,ENSG00000089818,Stim48hr,driver_antagonize,3.1931095,-0.42809105,0.0,0.0,,,,,False,,none
NECTIN3,ENSG00000177707,Stim48hr,driver_antagonize,3.4984457,-0.4695474,0.0,0.0,,,,,False,,none
NEIL2,ENSG00000154328,Rest,driver_antagonize,3.255012,-0.4076647,0.0,0.0,,,,,False,,none
NEIL3,ENSG00000109674,Rest,driver_antagonize,3.1463463,-0.4787648,0.0,0.0,,,,,False,,none
NEK3,ENSG00000136098,Stim8hr,driver_antagonize,4.492273,-0.6658807,0.0,0.0,,,,,False,,none
NEK4,ENSG00000114904,Stim8hr,driver_antagonize,4.588304,-0.643441,0.0,0.0,,,,,False,,none
NEK6,ENSG00000119408,Stim8hr,driver_antagonize,4.085429,-0.52641183,0.8055889245771162,0.8055889245771162,asthma,Abnormality of the skeletal system,0.468,4.0,False,1.9239000082015991,strong
NELFCD,ENSG00000101158,Stim8hr,brake_agonize,2.8733985,0.68044186,0.0,0.0,,,,,False,,none
NEURL1,ENSG00000107954,Stim8hr,brake_agonize,3.7181826,0.62357247,0.326694035654227,0.326694035654227,,atrial fibrillation,0.491,5.0,False,-0.4498499929904938,moderate
NEURL4,ENSG00000215041,Stim8hr,driver_antagonize,3.0961301,-0.36993802,0.3981450865697808,0.3981450865697808,,,,,False,,moderate
NF1,ENSG00000196712,Stim8hr,driver_antagonize,4.3731136,-0.61079013,0.769,0.3718902964373565,juvenile myelomonocytic leukemia,neurofibromatosis type 1,0.886,1.0,True,8.424300193786621,strong
NFAT5,ENSG00000102908,Stim8hr,driver_antagonize,3.8716238,-0.6038671,0.0,0.0,,,,,False,,none
NFATC2IP,ENSG00000176953,Stim8hr,brake_agonize,2.8988483,0.50436646,0.0,0.0,,,,,False,,none
