target_gene,ensembl_id,direction,peak_condition,abs_emp_z,genetics_autoimmune,genetics_tier,primary_class,protein_classes,tractability_tier,suggested_modality,is_druggable,sm_clinical,sm_ligand,sm_pocket,sm_druggable_family,ab_clinical,ab_surface,n_drugs,drug_stages
BLVRB,ENSG00000090013,driver_antagonize,Stim8hr,3.1148202,0.0,none,,,unknown,undetermined,False,,,,,,,,
BMAL2,ENSG00000029153,driver_antagonize,Rest,3.2049685,0.0,none,,,unknown,undetermined,False,,,,,,,,
BOD1,ENSG00000145919,driver_antagonize,Stim8hr,3.7700412,0.0,none,,,unknown,undetermined,False,,,,,,,,
BORCS6,ENSG00000196544,driver_antagonize,Stim8hr,3.6481903,0.0,none,,,unknown,undetermined,False,,,,,,,,
BRAT1,ENSG00000106009,driver_antagonize,Stim8hr,3.2973163,0.0,none,,,unknown,undetermined,False,,,,,,,,
BRD1,ENSG00000100425,driver_antagonize,Stim48hr,4.4628444,0.436045421066851,moderate,enzyme,enzyme,sm_tractable,small molecule,True,False,True,True,False,False,False,0.0,
BRD4,ENSG00000141867,brake_agonize,Stim8hr,3.196986,0.0,none,enzyme,enzyme,class_tractable_sm,small molecule,True,,,,,,,,
BRI3BP,ENSG00000184992,brake_agonize,Stim8hr,3.6462433,0.0,none,,,unknown,undetermined,False,,,,,,,,
BRK1,ENSG00000254999,driver_antagonize,Stim8hr,3.7039502,0.0,none,,,unknown,undetermined,False,,,,,,,,
BRPF1,ENSG00000156983,driver_antagonize,Stim48hr,2.9107697,0.2378326077779336,weak,,,unknown,undetermined,False,,,,,,,,
BRWD1,ENSG00000185658,brake_agonize,Rest,3.7609994,0.0,none,,,unknown,undetermined,False,,,,,,,,
BSPRY,ENSG00000119411,brake_agonize,Stim8hr,3.346133,0.0,none,,,unknown,undetermined,False,,,,,,,,
BTAF1,ENSG00000095564,driver_antagonize,Stim48hr,4.23661,0.0,none,,,unknown,undetermined,False,,,,,,,,
BTBD1,ENSG00000064726,driver_antagonize,Rest,3.4369206,0.0,none,,,unknown,undetermined,False,,,,,,,,
BTBD3,ENSG00000132640,driver_antagonize,Rest,3.177106,0.6594809765447965,strong,,,unknown,undetermined,False,,,,,,,,
