target_gene,ensembl_id,direction,peak_condition,abs_emp_z,genetics_autoimmune,genetics_tier,primary_class,protein_classes,tractability_tier,suggested_modality,is_druggable,sm_clinical,sm_ligand,sm_pocket,sm_druggable_family,ab_clinical,ab_surface,n_drugs,drug_stages
EDRF1,ENSG00000107938,driver_antagonize,Stim48hr,3.1481683,0.0,none,,,unknown,undetermined,False,,,,,,,,
EEF1AKMT1,ENSG00000150456,driver_antagonize,Stim8hr,3.0960865,0.0,none,,,unknown,undetermined,False,,,,,,,,
EEF1AKMT3,ENSG00000123427,brake_agonize,Stim8hr,2.7293608,0.1023427230081028,weak,,,unknown,undetermined,False,,,,,,,,
EFCAB13,ENSG00000178852,driver_antagonize,Rest,3.3323205,0.4181391982817367,moderate,,,unknown,undetermined,False,,,,,,,,
EFCAB2,ENSG00000203666,driver_antagonize,Stim48hr,3.169682,0.0,none,,,unknown,undetermined,False,,,,,,,,
EFCAB7,ENSG00000203965,driver_antagonize,Stim8hr,2.7971034,0.0,none,,,unknown,undetermined,False,,,,,,,,
EFHD2,ENSG00000142634,driver_antagonize,Stim8hr,3.8780644,0.0,none,,,unknown,undetermined,False,,,,,,,,
EFNA4,ENSG00000243364,driver_antagonize,Stim8hr,5.0067115,0.0,none,cytokine,cytokine,class_tractable_bio,biologic (secreted),True,,,,,,,,
EGR1,ENSG00000120738,driver_antagonize,Stim8hr,3.2821276,0.0,none,transcription_factor,transcription_factor,difficult_tf,hard (TF — degrader/PPI),False,,,,,,,,
EGR3,ENSG00000179388,driver_antagonize,Stim48hr,3.4640453,0.0,none,transcription_factor,transcription_factor,difficult_tf,hard (TF — degrader/PPI),False,,,,,,,,
EHBP1L1,ENSG00000173442,driver_antagonize,Stim48hr,4.272796,0.0,none,,,unknown,undetermined,False,,,,,,,,
EHD1,ENSG00000110047,brake_agonize,Stim8hr,3.083602,0.0,none,,,unknown,undetermined,False,,,,,,,,
EI24,ENSG00000149547,brake_agonize,Rest,4.400336,0.0,none,,,unknown,undetermined,False,,,,,,,,
EID1,ENSG00000255302,driver_antagonize,Stim8hr,3.2203324,0.0,none,,,unknown,undetermined,False,,,,,,,,
EID2,ENSG00000176396,brake_agonize,Rest,5.4699903,0.0,none,,,unknown,undetermined,False,,,,,,,,
EID2B,ENSG00000176401,driver_antagonize,Stim8hr,3.8331335,0.0,none,,,unknown,undetermined,False,,,,,,,,
EIF3L,ENSG00000100129,brake_agonize,Stim8hr,4.2167063,0.0,none,,,unknown,undetermined,False,,,,,,,,
EIF4A1,ENSG00000161960,brake_agonize,Stim48hr,2.9944112,0.0,none,,,unknown,undetermined,False,,,,,,,,
EIF4E2,ENSG00000135930,driver_antagonize,Stim48hr,4.271442,0.0,none,,,unknown,undetermined,False,,,,,,,,
EIF4E3,ENSG00000163412,brake_agonize,Rest,3.8704157,0.0,none,,,unknown,undetermined,False,,,,,,,,
EIF4EBP2,ENSG00000148730,driver_antagonize,Rest,3.7549868,0.0,none,,,unknown,undetermined,False,,,,,,,,
EIF4EBP3,ENSG00000243056,brake_agonize,Stim8hr,3.7305617,0.0,none,,,unknown,undetermined,False,,,,,,,,
EIPR1,ENSG00000032389,driver_antagonize,Stim8hr,4.3111453,0.0,none,,,unknown,undetermined,False,,,,,,,,
ELAVL1,ENSG00000066044,brake_agonize,Stim48hr,2.991026,0.0,none,,,unknown,undetermined,False,,,,,,,,
ELOVL1,ENSG00000066322,brake_agonize,Stim8hr,2.9112525,0.0,none,,,unknown,undetermined,False,,,,,,,,
ELP3,ENSG00000134014,brake_agonize,Stim8hr,5.1242757,0.0,none,enzyme,enzyme,class_tractable_sm,small molecule,True,,,,,,,,
ELP4,ENSG00000109911,brake_agonize,Stim48hr,4.2977934,0.0,none,,,unknown,undetermined,False,,,,,,,,
EMC4,ENSG00000128463,brake_agonize,Stim48hr,4.6150975,0.0,none,,,unknown,undetermined,False,,,,,,,,
EMC7,ENSG00000134153,brake_agonize,Stim48hr,4.098335,0.0,none,,,unknown,undetermined,False,,,,,,,,
EME1,ENSG00000154920,brake_agonize,Stim8hr,3.8798048,0.0,none,,,unknown,undetermined,False,,,,,,,,
EME2,ENSG00000197774,driver_antagonize,Stim8hr,3.3420153,0.0,none,,,unknown,undetermined,False,,,,,,,,
EML4,ENSG00000143924,driver_antagonize,Stim48hr,4.41628,0.0,none,,,unknown,undetermined,False,,,,,,,,
ENO1,ENSG00000074800,driver_antagonize,Stim48hr,3.8975856,0.0,none,,,unknown,undetermined,False,,,,,,,,
ENO2,ENSG00000111674,driver_antagonize,Rest,3.382167,0.0,none,,,unknown,undetermined,False,,,,,,,,
EP300,ENSG00000100393,driver_antagonize,Stim8hr,3.8485444,0.0,none,,,unknown,undetermined,False,,,,,,,,
EPB41L2,ENSG00000079819,driver_antagonize,Stim8hr,4.308078,0.0,none,,,unknown,undetermined,False,,,,,,,,
EPB41L3,ENSG00000082397,driver_antagonize,Stim8hr,3.3628583,0.0,none,,,unknown,undetermined,False,,,,,,,,
EPHX2,ENSG00000120915,driver_antagonize,Stim8hr,3.0988839,0.0,none,enzyme,enzyme,class_tractable_sm,small molecule,True,,,,,,,,
ERF,ENSG00000105722,driver_antagonize,Stim48hr,3.7396529,0.0,none,transcription_factor,transcription_factor,difficult_tf,hard (TF — degrader/PPI),False,,,,,,,,
ERI3,ENSG00000117419,driver_antagonize,Rest,3.4162161,0.0,none,,,unknown,undetermined,False,,,,,,,,
ERMARD,ENSG00000130023,driver_antagonize,Stim48hr,5.6226964,0.0,none,,,unknown,undetermined,False,,,,,,,,
ERO1B,ENSG00000086619,driver_antagonize,Stim48hr,2.9229162,0.0,none,,,unknown,undetermined,False,,,,,,,,
ERP29,ENSG00000089248,driver_antagonize,Stim8hr,3.5306091,0.0,none,,,unknown,undetermined,False,,,,,,,,
ERP44,ENSG00000023318,driver_antagonize,Stim8hr,2.788904,0.0,none,,,unknown,undetermined,False,,,,,,,,
ESRRA,ENSG00000173153,driver_antagonize,Stim8hr,3.6410105,0.0,none,nuclear_receptor,nuclear_receptor;transcription_factor,class_tractable_sm,small molecule,True,,,,,,,,
EVA1B,ENSG00000142694,driver_antagonize,Stim8hr,3.0039454,0.0,none,,,unknown,undetermined,False,,,,,,,,
EWSR1,ENSG00000182944,driver_antagonize,Stim48hr,3.1221852,0.0,none,,,unknown,undetermined,False,,,,,,,,
EXD2,ENSG00000081177,driver_antagonize,Stim8hr,2.8039687,0.0,none,,,unknown,undetermined,False,,,,,,,,
EXD3,ENSG00000187609,driver_antagonize,Stim48hr,3.0800695,0.0,none,,,unknown,undetermined,False,,,,,,,,
EXO5,ENSG00000164002,driver_antagonize,Stim8hr,2.8037274,0.0,none,,,unknown,undetermined,False,,,,,,,,
EXOSC1,ENSG00000171311,brake_agonize,Stim8hr,3.3977878,0.0,none,,,unknown,undetermined,False,,,,,,,,
EXPH5,ENSG00000110723,driver_antagonize,Stim8hr,3.8531294,0.0,none,,,unknown,undetermined,False,,,,,,,,
EXT2,ENSG00000151348,driver_antagonize,Stim48hr,2.9624503,0.0,none,,,unknown,undetermined,False,,,,,,,,
EXTL3,ENSG00000012232,driver_antagonize,Stim48hr,5.4564295,0.0,none,,,unknown,undetermined,False,,,,,,,,
F11R,ENSG00000158769,driver_antagonize,Stim48hr,3.9180562,0.0,none,,,unknown,undetermined,False,,,,,,,,
F5,ENSG00000198734,driver_antagonize,Stim8hr,2.8153527,0.0,none,,,unknown,undetermined,False,,,,,,,,
F8A1,ENSG00000288722,driver_antagonize,Stim48hr,4.0446763,0.0,none,,,unknown,undetermined,False,,,,,,,,
FAAP24,ENSG00000131944,driver_antagonize,Stim8hr,3.2298045,0.5593038376043256,strong,,,unknown,undetermined,False,,,,,,,,
FADS1,ENSG00000149485,driver_antagonize,Stim8hr,3.7798822,0.6587269687444958,strong,,,sm_tractable,small molecule,True,False,True,False,False,False,True,0.0,
FADS3,ENSG00000221968,driver_antagonize,Stim48hr,3.6383686,0.5842297472421053,strong,,,ab_tractable,antibody/biologic (surface),True,False,False,False,False,False,True,0.0,
FAHD2A,ENSG00000115042,driver_antagonize,Stim48hr,4.113529,0.0,none,,,unknown,undetermined,False,,,,,,,,
FAIM,ENSG00000158234,driver_antagonize,Rest,3.6217403,0.0,none,,,unknown,undetermined,False,,,,,,,,
FAM107B,ENSG00000065809,brake_agonize,Stim8hr,3.5983548,0.0,none,,,unknown,undetermined,False,,,,,,,,
FAM118A,ENSG00000100376,brake_agonize,Stim8hr,3.1890314,0.6330537921357291,strong,,,unknown,undetermined,False,,,,,,,,
FAM120AOS,ENSG00000188938,driver_antagonize,Stim8hr,3.086384,0.0,none,,,unknown,undetermined,False,,,,,,,,
FAM133B,ENSG00000234545,brake_agonize,Stim48hr,3.9482236,0.1063390104575291,weak,,,unknown,undetermined,False,False,False,False,False,False,False,0.0,
FAM136A,ENSG00000035141,driver_antagonize,Stim8hr,2.8797433,0.0,none,,,unknown,undetermined,False,,,,,,,,
FAM13B,ENSG00000031003,driver_antagonize,Stim48hr,3.7405937,0.0,none,,,unknown,undetermined,False,,,,,,,,
FAM169A,ENSG00000198780,driver_antagonize,Stim8hr,3.61156,0.0,none,,,unknown,undetermined,False,,,,,,,,
FAM174C,ENSG00000228300,brake_agonize,Stim48hr,3.9174995,0.0,none,,,unknown,undetermined,False,,,,,,,,
FAM177A1,ENSG00000151327,brake_agonize,Stim8hr,4.5221624,0.0,none,,,unknown,undetermined,False,,,,,,,,
FAM204A,ENSG00000165669,driver_antagonize,Stim8hr,4.794871,0.0,none,,,unknown,undetermined,False,,,,,,,,
FAM20B,ENSG00000116199,driver_antagonize,Stim8hr,2.7886035,0.4114270643387612,moderate,,,unknown,undetermined,False,,,,,,,,
FAM210B,ENSG00000124098,brake_agonize,Rest,6.180166,0.0,none,,,unknown,undetermined,False,,,,,,,,
FAM229B,ENSG00000203778,driver_antagonize,Rest,3.1730409,0.0,none,,,unknown,undetermined,False,,,,,,,,
FAM241A,ENSG00000174749,brake_agonize,Stim8hr,3.6379688,0.6747350616692561,strong,,,ab_tractable,antibody/biologic (surface),True,False,False,False,False,False,True,0.0,
FAM241B,ENSG00000171224,brake_agonize,Stim8hr,3.0056047,0.0,none,,,unknown,undetermined,False,,,,,,,,
FAM50B,ENSG00000145945,driver_antagonize,Stim48hr,3.6714013,0.0,none,,,unknown,undetermined,False,,,,,,,,
FAM89A,ENSG00000182118,driver_antagonize,Stim8hr,3.5681667,0.0,none,,,unknown,undetermined,False,,,,,,,,
FAM98A,ENSG00000119812,driver_antagonize,Stim8hr,3.8728197,0.3628127197901791,moderate,,,unknown,undetermined,False,False,False,False,False,False,False,0.0,
FANCB,ENSG00000181544,brake_agonize,Rest,4.156482,0.0,none,,,unknown,undetermined,False,,,,,,,,
FANCI,ENSG00000140525,brake_agonize,Stim8hr,3.142792,0.0,none,,,unknown,undetermined,False,,,,,,,,
FANCM,ENSG00000187790,driver_antagonize,Stim48hr,4.6063867,0.0,none,,,unknown,undetermined,False,,,,,,,,
FARP2,ENSG00000006607,driver_antagonize,Stim8hr,2.9159863,0.494762327485489,moderate,,,unknown,undetermined,False,,,,,,,,
FBH1,ENSG00000134452,brake_agonize,Stim48hr,3.4607418,0.2579175896632644,moderate,,,unknown,undetermined,False,,,,,,,,
FBXL4,ENSG00000112234,driver_antagonize,Stim8hr,4.4431496,0.0,none,,,unknown,undetermined,False,,,,,,,,
FBXL8,ENSG00000135722,driver_antagonize,Rest,3.4779654,0.0,none,,,unknown,undetermined,False,,,,,,,,
FBXO22,ENSG00000167196,driver_antagonize,Rest,3.5647254,0.0,none,,,unknown,undetermined,False,,,,,,,,
FBXO25,ENSG00000147364,driver_antagonize,Rest,3.0951715,0.0,none,,,unknown,undetermined,False,,,,,,,,
FBXO38,ENSG00000145868,brake_agonize,Rest,3.9922912,0.666414874110177,strong,,,unknown,undetermined,False,False,False,False,False,False,False,0.0,
FBXO46,ENSG00000177051,driver_antagonize,Stim8hr,3.0836692,0.0,none,,,unknown,undetermined,False,,,,,,,,
FBXW4,ENSG00000107829,driver_antagonize,Stim48hr,3.1247702,0.0,none,,,unknown,undetermined,False,,,,,,,,
FBXW5,ENSG00000159069,driver_antagonize,Stim8hr,3.3848007,0.0,none,,,unknown,undetermined,False,,,,,,,,
FBXW7,ENSG00000109670,driver_antagonize,Stim8hr,2.8377416,0.0,none,,,unknown,undetermined,False,,,,,,,,
FCMR,ENSG00000162894,driver_antagonize,Stim8hr,2.9049141,0.0,none,,,unknown,undetermined,False,,,,,,,,
FEM1A,ENSG00000141965,driver_antagonize,Stim8hr,4.6511955,0.0,none,,,unknown,undetermined,False,,,,,,,,
FEM1C,ENSG00000145780,driver_antagonize,Rest,3.488904,0.0,none,,,unknown,undetermined,False,,,,,,,,
FERRY3,ENSG00000047621,brake_agonize,Stim8hr,3.262994,0.0,none,,,unknown,undetermined,False,,,,,,,,
FES,ENSG00000182511,driver_antagonize,Stim8hr,2.9422293,0.0,none,kinase,kinase,class_tractable_sm,small molecule,True,,,,,,,,
FHIP2A,ENSG00000151553,driver_antagonize,Stim48hr,3.1170127,0.0,none,,,unknown,undetermined,False,,,,,,,,
FHOD1,ENSG00000135723,driver_antagonize,Stim48hr,4.178856,0.0,none,,,unknown,undetermined,False,,,,,,,,
FICD,ENSG00000198855,brake_agonize,Stim48hr,3.0036557,0.0,none,,,unknown,undetermined,False,,,,,,,,
FIGNL1,ENSG00000132436,brake_agonize,Stim8hr,3.335887,0.2782840125821002,moderate,,,unknown,undetermined,False,,,,,,,,
FKBP15,ENSG00000119321,driver_antagonize,Rest,3.9985988,0.0,none,,,unknown,undetermined,False,,,,,,,,
FKBP5,ENSG00000096060,brake_agonize,Stim48hr,3.5556977,0.6182885018233708,strong,,,sm_tractable,small molecule,True,False,True,False,True,False,False,0.0,
FKBP7,ENSG00000079150,brake_agonize,Stim8hr,2.730487,0.0,none,,,unknown,undetermined,False,,,,,,,,
FKBPL,ENSG00000204315,driver_antagonize,Stim48hr,3.0118918,0.0,none,,,unknown,undetermined,False,,,,,,,,
FLACC1,ENSG00000155749,brake_agonize,Stim48hr,3.33609,0.0,none,,,unknown,undetermined,False,,,,,,,,
FMR1,ENSG00000102081,brake_agonize,Stim8hr,3.7095993,0.0,none,,,unknown,undetermined,False,,,,,,,,
FNDC3A,ENSG00000102531,driver_antagonize,Stim48hr,2.984968,0.0,none,,,unknown,undetermined,False,,,,,,,,
FNDC3B,ENSG00000075420,driver_antagonize,Stim8hr,6.276335,0.0,none,,,unknown,undetermined,False,,,,,,,,
FOXD1,ENSG00000251493,driver_antagonize,Stim48hr,3.108221,0.0,none,transcription_factor,transcription_factor,difficult_tf,hard (TF — degrader/PPI),False,,,,,,,,
FOXK1,ENSG00000164916,driver_antagonize,Stim8hr,3.4838603,0.421,moderate,transcription_factor,transcription_factor,difficult_tf,hard (TF — degrader/PPI),False,False,False,False,False,False,False,0.0,
FPGS,ENSG00000136877,driver_antagonize,Stim48hr,3.9998891,0.0,none,,,unknown,undetermined,False,,,,,,,,
FRA10AC1,ENSG00000148690,driver_antagonize,Stim48hr,3.1176546,0.0,none,,,unknown,undetermined,False,,,,,,,,
FRAT2,ENSG00000181274,driver_antagonize,Stim8hr,3.457026,0.0,none,,,unknown,undetermined,False,,,,,,,,
FUT7,ENSG00000180549,driver_antagonize,Stim8hr,4.6186867,0.0,none,,,unknown,undetermined,False,,,,,,,,
FUT8,ENSG00000033170,brake_agonize,Rest,5.1987014,0.2787202088471137,moderate,,,sm_tractable,small molecule,True,False,True,True,False,False,True,0.0,
FUZ,ENSG00000010361,driver_antagonize,Stim8hr,4.3279305,0.0,none,,,unknown,undetermined,False,,,,,,,,
FXR2,ENSG00000129245,driver_antagonize,Stim8hr,2.7605865,0.2658424790487845,moderate,,,unknown,undetermined,False,,,,,,,,
FXYD1,ENSG00000266964,driver_antagonize,Stim8hr,4.182964,0.0,none,,,unknown,undetermined,False,,,,,,,,
FZD6,ENSG00000164930,driver_antagonize,Stim8hr,2.7706177,0.0,none,GPCR,GPCR,class_tractable_sm,small molecule,True,,,,,,,,
FZR1,ENSG00000105325,driver_antagonize,Stim48hr,3.5876267,0.0,none,,,unknown,undetermined,False,,,,,,,,
G2E3,ENSG00000092140,driver_antagonize,Stim8hr,2.773606,0.0,none,,,unknown,undetermined,False,,,,,,,,
G6PD,ENSG00000160211,driver_antagonize,Stim8hr,3.3534636,0.0,none,,,unknown,undetermined,False,,,,,,,,
GAB2,ENSG00000033327,driver_antagonize,Stim48hr,3.4680812,0.0,none,,,unknown,undetermined,False,,,,,,,,
GADD45G,ENSG00000130222,driver_antagonize,Stim8hr,2.8076887,0.8061165337980747,strong,,,unknown,undetermined,False,,,,,,,,
GAL3ST4,ENSG00000197093,driver_antagonize,Stim48hr,3.0440347,0.2129327941473487,weak,,,unknown,undetermined,False,,,,,,,,
GALE,ENSG00000117308,driver_antagonize,Stim8hr,2.7590423,0.0,none,,,unknown,undetermined,False,,,,,,,,
GALK2,ENSG00000156958,driver_antagonize,Stim48hr,3.3710403,0.0,none,,,unknown,undetermined,False,,,,,,,,
GALNT4,ENSG00000257594,driver_antagonize,Rest,3.190006,0.0,none,,,unknown,undetermined,False,,,,,,,,
GALNT7,ENSG00000109586,brake_agonize,Stim8hr,2.8114002,0.0,none,,,unknown,undetermined,False,,,,,,,,
GANAB,ENSG00000089597,driver_antagonize,Stim8hr,3.83638,0.0,none,,,unknown,undetermined,False,,,,,,,,
GARIN1A,ENSG00000205085,driver_antagonize,Stim8hr,2.8751929,0.0,none,,,unknown,undetermined,False,,,,,,,,
GARRE1,ENSG00000166398,driver_antagonize,Stim8hr,2.9911797,0.0,none,,,unknown,undetermined,False,,,,,,,,
GATA3,ENSG00000107485,brake_agonize,Stim8hr,3.7970784,0.953711371065416,strong,transcription_factor,transcription_factor,difficult_tf,hard (TF — degrader/PPI),False,False,False,False,False,False,False,0.0,
GATAD2B,ENSG00000143614,driver_antagonize,Stim48hr,3.2226264,0.0,none,transcription_factor,transcription_factor,difficult_tf,hard (TF — degrader/PPI),False,,,,,,,,
GATC,ENSG00000257218,driver_antagonize,Stim8hr,2.7239575,0.0,none,,,unknown,undetermined,False,,,,,,,,
GCFC2,ENSG00000005436,driver_antagonize,Stim8hr,2.9028363,0.4686214239098927,moderate,,,unknown,undetermined,False,,,,,,,,
GDAP1,ENSG00000104381,driver_antagonize,Stim8hr,2.9925053,0.0,none,,,unknown,undetermined,False,,,,,,,,
GDI1,ENSG00000203879,driver_antagonize,Stim8hr,3.1612537,0.0,none,,,unknown,undetermined,False,,,,,,,,
GDPD3,ENSG00000102886,driver_antagonize,Stim48hr,3.0435805,0.0,none,,,unknown,undetermined,False,,,,,,,,
GDPD5,ENSG00000158555,brake_agonize,Stim8hr,3.23321,0.0,none,,,unknown,undetermined,False,,,,,,,,
GET3,ENSG00000198356,driver_antagonize,Stim8hr,3.4593906,0.0,none,,,unknown,undetermined,False,,,,,,,,
GFM1,ENSG00000168827,driver_antagonize,Stim8hr,2.8090847,0.0,none,,,unknown,undetermined,False,,,,,,,,
GGA2,ENSG00000103365,driver_antagonize,Stim8hr,3.2490382,0.0,none,,,unknown,undetermined,False,,,,,,,,
GIMAP4,ENSG00000133574,driver_antagonize,Stim48hr,3.9315495,0.0,none,,,unknown,undetermined,False,,,,,,,,
GINM1,ENSG00000055211,driver_antagonize,Stim48hr,3.72556,0.0,none,,,unknown,undetermined,False,,,,,,,,
GIPC1,ENSG00000123159,driver_antagonize,Rest,3.0914242,0.0,none,,,unknown,undetermined,False,,,,,,,,
GIT2,ENSG00000139436,driver_antagonize,Stim48hr,3.5681148,0.0,none,,,unknown,undetermined,False,,,,,,,,
GLO1,ENSG00000124767,driver_antagonize,Stim8hr,3.2031329,0.0,none,,,unknown,undetermined,False,,,,,,,,
GLRX3,ENSG00000108010,driver_antagonize,Stim48hr,4.0583873,0.0,none,,,unknown,undetermined,False,,,,,,,,
GLRX5,ENSG00000182512,driver_antagonize,Stim8hr,2.8623245,0.0,none,,,unknown,undetermined,False,,,,,,,,
GLS,ENSG00000115419,brake_agonize,Stim8hr,4.064354,0.646952088898583,strong,,,clinical_precedent,small molecule,True,True,True,False,False,False,False,1.0,PHASE_2
GMCL1,ENSG00000087338,driver_antagonize,Rest,3.048688,0.0,none,,,unknown,undetermined,False,,,,,,,,
GMDS,ENSG00000112699,driver_antagonize,Stim48hr,3.227549,0.0,none,,,unknown,undetermined,False,,,,,,,,
GMEB1,ENSG00000162419,driver_antagonize,Stim48hr,3.3810894,0.0,none,transcription_factor,transcription_factor,difficult_tf,hard (TF — degrader/PPI),False,,,,,,,,
GMFB,ENSG00000197045,driver_antagonize,Rest,3.5333033,0.0,none,,,unknown,undetermined,False,,,,,,,,
GNB1,ENSG00000078369,brake_agonize,Stim8hr,2.7517412,0.0,none,,,unknown,undetermined,False,,,,,,,,
GNE,ENSG00000159921,driver_antagonize,Stim8hr,2.9605258,0.0,none,,,unknown,undetermined,False,,,,,,,,
GNPAT,ENSG00000116906,brake_agonize,Stim8hr,5.3437047,0.0,none,,,unknown,undetermined,False,,,,,,,,
GNPDA1,ENSG00000113552,driver_antagonize,Stim8hr,3.0979924,0.6512568327010843,strong,,,unknown,undetermined,False,,,,,,,,
GNPTG,ENSG00000090581,brake_agonize,Stim8hr,2.9764922,0.0,none,,,unknown,undetermined,False,,,,,,,,
GOLGA1,ENSG00000136935,driver_antagonize,Rest,3.327476,0.0,none,,,unknown,undetermined,False,,,,,,,,
GOLGA5,ENSG00000066455,driver_antagonize,Stim8hr,4.87755,0.0,none,,,unknown,undetermined,False,,,,,,,,
GOLGA8B,ENSG00000215252,driver_antagonize,Stim8hr,3.7854297,0.0,none,,,unknown,undetermined,False,,,,,,,,
GON7,ENSG00000170270,driver_antagonize,Stim8hr,3.6227922,0.0,none,,,unknown,undetermined,False,,,,,,,,
GOPC,ENSG00000047932,driver_antagonize,Stim48hr,3.9655118,0.0,none,,,unknown,undetermined,False,,,,,,,,
GPALPP1,ENSG00000133114,brake_agonize,Stim8hr,3.28014,0.0,none,,,unknown,undetermined,False,,,,,,,,
GPATCH4,ENSG00000160818,driver_antagonize,Stim48hr,3.1345875,0.0,none,,,unknown,undetermined,False,,,,,,,,
GPR107,ENSG00000148358,driver_antagonize,Stim48hr,3.616663,0.0,none,GPCR,GPCR,class_tractable_sm,small molecule,True,,,,,,,,
GPR15,ENSG00000154165,driver_antagonize,Stim48hr,2.9093103,0.0,none,GPCR,GPCR,class_tractable_sm,small molecule,True,,,,,,,,
GPR157,ENSG00000180758,driver_antagonize,Stim8hr,3.3020632,0.0,none,GPCR,GPCR,class_tractable_sm,small molecule,True,,,,,,,,
GPR171,ENSG00000174946,driver_antagonize,Stim8hr,2.8469296,0.0,none,GPCR,GPCR,class_tractable_sm,small molecule,True,,,,,,,,
GPR55,ENSG00000135898,driver_antagonize,Stim8hr,3.4963152,0.5191585245178475,strong,GPCR,GPCR,sm_tractable,small molecule,True,False,True,False,True,False,True,0.0,
GPR63,ENSG00000112218,brake_agonize,Stim48hr,3.3027344,0.0,none,GPCR,GPCR,class_tractable_sm,small molecule,True,,,,,,,,
GPR68,ENSG00000119714,driver_antagonize,Rest,3.53191,0.0,none,GPCR,GPCR,class_tractable_sm,small molecule,True,,,,,,,,
GPRIN3,ENSG00000185477,driver_antagonize,Stim8hr,4.332578,0.0,none,,,unknown,undetermined,False,,,,,,,,
GPS2,ENSG00000132522,brake_agonize,Stim8hr,2.988102,0.764780971165911,strong,,,unknown,undetermined,False,,,,,,,,
GRAMD1A,ENSG00000089351,brake_agonize,Stim48hr,3.255813,0.0,none,,,unknown,undetermined,False,,,,,,,,
GRAP2,ENSG00000100351,driver_antagonize,Stim48hr,3.3664956,0.1163532287023449,weak,,,unknown,undetermined,False,,,,,,,,
GRK4,ENSG00000125388,brake_agonize,Stim8hr,4.407708,0.0,none,kinase,kinase,class_tractable_sm,small molecule,True,,,,,,,,
GRN,ENSG00000030582,driver_antagonize,Rest,3.435237,0.0,none,,,unknown,undetermined,False,,,,,,,,
GSS,ENSG00000100983,driver_antagonize,Stim48hr,4.99298,0.0,none,,,unknown,undetermined,False,,,,,,,,
GSTO1,ENSG00000148834,driver_antagonize,Stim48hr,2.939863,0.0,none,,,unknown,undetermined,False,,,,,,,,
GSTP1,ENSG00000084207,driver_antagonize,Stim8hr,3.4600081,0.0,none,,,unknown,undetermined,False,,,,,,,,
GTF2H1,ENSG00000110768,driver_antagonize,Stim48hr,3.2118564,0.3975105154969098,moderate,,,unknown,undetermined,False,,,,,,,,
GTF3C4,ENSG00000125484,brake_agonize,Stim8hr,3.6046703,0.0,none,enzyme,enzyme,class_tractable_sm,small molecule,True,,,,,,,,
GTF3C5,ENSG00000148308,brake_agonize,Stim48hr,3.397343,0.0,none,,,unknown,undetermined,False,,,,,,,,
GTPBP1,ENSG00000100226,driver_antagonize,Rest,3.3167887,0.0,none,,,unknown,undetermined,False,,,,,,,,
GTSE1,ENSG00000075218,driver_antagonize,Stim48hr,3.919394,0.0,none,,,unknown,undetermined,False,,,,,,,,
GVQW3,ENSG00000179240,driver_antagonize,Stim8hr,3.8853934,0.0,none,,,unknown,undetermined,False,,,,,,,,
GYG1,ENSG00000163754,brake_agonize,Stim8hr,4.2084064,0.0,none,,,unknown,undetermined,False,,,,,,,,
GZMB,ENSG00000100453,driver_antagonize,Stim8hr,3.1951075,0.5884394161424527,strong,enzyme,enzyme,class_tractable_sm,small molecule,True,,,,,,,,
GZMK,ENSG00000113088,brake_agonize,Rest,3.4282115,0.0,none,enzyme,enzyme,class_tractable_sm,small molecule,True,,,,,,,,
H1-4,ENSG00000168298,brake_agonize,Stim48hr,3.2637568,0.0,none,,,unknown,undetermined,False,,,,,,,,
H1-5,ENSG00000184357,driver_antagonize,Stim8hr,2.8518152,0.0,none,,,unknown,undetermined,False,,,,,,,,
H2BC8,ENSG00000273802,driver_antagonize,Stim48hr,3.3295584,0.0,none,,,unknown,undetermined,False,,,,,,,,
H3-3A,ENSG00000163041,driver_antagonize,Stim48hr,3.002296,0.0,none,,,unknown,undetermined,False,,,,,,,,
H4C2,ENSG00000278705,driver_antagonize,Rest,4.754821,0.0,none,,,unknown,undetermined,False,,,,,,,,
HACD2,ENSG00000206527,brake_agonize,Rest,3.4334366,0.0,none,,,unknown,undetermined,False,,,,,,,,
HAPLN3,ENSG00000140511,driver_antagonize,Stim8hr,4.486046,0.0,none,,,unknown,undetermined,False,,,,,,,,
HAT1,ENSG00000128708,brake_agonize,Stim8hr,3.0360653,0.0,none,enzyme,enzyme,class_tractable_sm,small molecule,True,,,,,,,,
HCCS,ENSG00000004961,brake_agonize,Rest,3.1822767,0.0,none,,,unknown,undetermined,False,,,,,,,,
HCN2,ENSG00000099822,brake_agonize,Rest,3.6759112,0.0,none,ion_channel,ion_channel,class_tractable_sm,small molecule,True,,,,,,,,
HDAC5,ENSG00000108840,driver_antagonize,Stim8hr,3.3943784,0.0,none,enzyme,enzyme,class_tractable_sm,small molecule,True,,,,,,,,
HDAC9,ENSG00000048052,driver_antagonize,Stim48hr,3.0069432,0.4785489530307014,moderate,enzyme,enzyme,class_tractable_sm,small molecule,True,,,,,,,,
HDDC2,ENSG00000111906,driver_antagonize,Stim8hr,2.9759626,0.0,none,,,unknown,undetermined,False,,,,,,,,
HDHD3,ENSG00000119431,brake_agonize,Stim8hr,3.477016,0.0,none,,,unknown,undetermined,False,,,,,,,,
HDLBP,ENSG00000115677,driver_antagonize,Stim8hr,2.8084457,0.0,none,,,unknown,undetermined,False,,,,,,,,
HEATR3,ENSG00000155393,brake_agonize,Stim8hr,5.732935,0.5296561498633379,strong,,,unknown,undetermined,False,False,False,False,False,False,False,0.0,
