gene,protein_classes,primary_class
BRAF,kinase,kinase
PAK3,kinase,kinase
PDK3,kinase,kinase
PHKG2,kinase,kinase
TNK2,kinase,kinase
ALPK1,kinase,kinase
ERBB3,catalytic_receptor;kinase,kinase
PTK2B,kinase,kinase
GRK6,kinase,kinase
SIK1B,kinase,kinase
VRK2,kinase,kinase
LIMK1,kinase,kinase
TRPM6,kinase,kinase
AURKB,kinase,kinase
MYLK2,kinase,kinase
DYRK2,kinase,kinase
GRK7,kinase,kinase
SCYL3,kinase,kinase
PDK4,kinase,kinase
PRAG1,kinase,kinase
TRIB3,kinase,kinase
CDK1,kinase,kinase
EPHB3,catalytic_receptor;kinase,kinase
ITK,kinase,kinase
ANKK1,kinase,kinase
DYRK3,kinase,kinase
DYRK4,kinase,kinase
OXSR1,kinase,kinase
CDK10,kinase,kinase
CDK20,kinase,kinase
MKNK2,kinase,kinase
PLK5,kinase,kinase
PKN3,kinase,kinase
HIPK2,kinase,kinase
DMPK,kinase,kinase
BRSK2,kinase,kinase
RET,catalytic_receptor;kinase,kinase
LMTK3,catalytic_receptor;kinase,kinase
ADCK5,kinase,kinase
TESK1,kinase,kinase
ADCK1,kinase,kinase
PINK1,kinase,kinase
MARK2,kinase,kinase
ABL2,kinase,kinase
CDKL3,kinase,kinase
TXK,kinase,kinase
PLK1,kinase,kinase
NEK7,kinase,kinase
FGFR3,catalytic_receptor;kinase,kinase
TIE1,catalytic_receptor;kinase,kinase
ABL1,kinase,kinase
NEK4,kinase,kinase
STK10,kinase,kinase
EPHB4,catalytic_receptor;kinase,kinase
PIM1,kinase,kinase
STK26,kinase,kinase
EPHA5,catalytic_receptor;kinase,kinase
DAPK2,kinase,kinase
FLT3,catalytic_receptor;kinase,kinase
PAK6,kinase,kinase
TTBK2,kinase,kinase
EPHA8,catalytic_receptor;kinase,kinase
ERN2,kinase,kinase
STYK1,catalytic_receptor;kinase,kinase
SPEG,kinase,kinase
TLK2,kinase,kinase
STK31,kinase,kinase
CDK7,kinase,kinase
BMPR2,catalytic_receptor;kinase,kinase
ERBB2,catalytic_receptor;kinase,kinase
SRPK2,kinase,kinase
AXL,catalytic_receptor;kinase,kinase
NRBP1,kinase,kinase
CDK5,kinase,kinase
EPHA2,catalytic_receptor;kinase,kinase
CDK12,kinase,kinase
GRK1,kinase,kinase
DCLK1,kinase,kinase
CDKL1,kinase,kinase
CDC42BPB,kinase,kinase
NEK11,kinase,kinase
DDR2,catalytic_receptor;kinase,kinase
SBK2,kinase,kinase
PHKG1,kinase,kinase
TEC,kinase,kinase
STK11,kinase,kinase
PKDCC,kinase,kinase
SNRK,kinase,kinase
PTK7,catalytic_receptor;kinase,kinase
CAMKV,kinase,kinase
MOS,kinase,kinase
RYK,catalytic_receptor;kinase,kinase
STK39,kinase,kinase
ICK,kinase,kinase
MKNK1,kinase,kinase
LRRK1,kinase,kinase
FER,kinase,kinase
CDC7,kinase,kinase
CDK8,kinase,kinase
STK24,kinase,kinase
NUAK1,kinase,kinase
EPHA4,catalytic_receptor;kinase,kinase
MLKL,kinase,kinase
HIPK3,kinase,kinase
RIPK2,kinase,kinase
CSF1R,catalytic_receptor;kinase,kinase
AATK,catalytic_receptor;kinase,kinase
LTK,catalytic_receptor;kinase,kinase
NEK1,kinase,kinase
TBCK,kinase,kinase
PAK4,kinase,kinase
PASK,kinase,kinase
RORA,kinase;transcription_factor,kinase
HIPK1,kinase,kinase
KALRN,kinase,kinase
EPHB1,catalytic_receptor;kinase,kinase
TESK2,kinase,kinase
MYO3B,kinase,kinase
FASTK,kinase,kinase
MAST4,kinase,kinase
RNASE3,kinase,kinase
ACVR1,catalytic_receptor;kinase,kinase
CDK2,kinase,kinase
SGK3,kinase,kinase
JAK3,kinase,kinase
AKT1,kinase,kinase
FES,kinase,kinase
CDKL5,kinase,kinase
ADCK2,kinase,kinase
ARAF,kinase,kinase
NEK3,kinase,kinase
SIK3,kinase,kinase
LYN,kinase,kinase
MYLK4,kinase,kinase
JAK1,kinase,kinase
CHEK2,kinase,kinase
FGR,kinase,kinase
JAK2,kinase,kinase
WNK1,kinase,kinase
RIPK3,kinase,kinase
ATM,kinase,kinase
KSR2,kinase,kinase
DAPK1,kinase,kinase
PDK2,kinase,kinase
TRPM7,kinase,kinase
ULK3,kinase,kinase
OBSCN,kinase,kinase
STK35,kinase,kinase
